location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
California	Delta	0.52373546	0.55720264	0.4924834	0.5445102	0.50285393	0.534384	0.5128499
California	Omicron 21L	1.3394356	1.3738462	1.3067495	1.3612996	1.3174032	1.350722	1.3274944
California	other	0.92430425	0.94102776	0.9068099	0.9356847	0.9128911	0.9304238	0.91822815
Colorado	Delta	0.5344965	0.5683711	0.5032491	0.55608374	0.5142863	0.545817	0.52366734
Colorado	Omicron 21L	1.3224142	1.361214	1.2865297	1.3476702	1.2986102	1.3357991	1.3098562
Colorado	other	0.8309531	0.84304994	0.8189471	0.83858687	0.8229014	0.83513415	0.8268616
Connecticut	Delta	0.46029055	0.49230993	0.43147624	0.48066822	0.44097224	0.470646	0.45063645
Connecticut	Omicron 21L	1.5702693	1.6202601	1.5220983	1.6027154	1.5389498	1.5872447	1.5539509
Connecticut	other	0.4670298	0.47648603	0.45770505	0.473175	0.46086898	0.4704834	0.46392223
Florida	Delta	0.40060118	0.42699245	0.3769854	0.41718712	0.38523155	0.40916473	0.3925106
Florida	Omicron 21L	1.5946994	1.6283281	1.5605721	1.617131	1.5724933	1.6062231	1.5829997
Florida	other	0.8067876	0.81818956	0.7954756	0.81411296	0.79944575	0.8108468	0.803004
Georgia	Delta	0.40185326	0.4386594	0.36986908	0.4247212	0.38005295	0.41388223	0.3910367
Georgia	Omicron 21L	1.4832897	1.5291018	1.4388797	1.5128707	1.4541216	1.4985477	1.46803
Georgia	other	0.56910694	0.5785495	0.55983806	0.5750078	0.5629002	0.5723602	0.5659139
Illinois	Delta	0.50710225	0.5326102	0.4843604	0.52332246	0.49178186	0.515483	0.49945357
Illinois	Omicron 21L	1.4560728	1.4910549	1.4215727	1.4790266	1.4336065	1.4680259	1.4441046
Illinois	other	0.6900685	0.70048654	0.6797163	0.6966086	0.68327916	0.69369066	0.6866058
Maryland	Delta	0.47588646	0.5041247	0.4496135	0.49432248	0.45901015	0.48526856	0.46688724
Maryland	Omicron 21L	1.4253438	1.4634497	1.3872292	1.4506441	1.4008198	1.438664	1.4124944
Maryland	other	0.7524099	0.76653695	0.7382104	0.761414	0.74325144	0.7572238	0.74755406
Massachusetts	Delta	0.40738595	0.4270318	0.38923037	0.41987616	0.39548716	0.4138742	0.40123656
Massachusetts	Omicron 21L	1.4396011	1.4597256	1.42061	1.452696	1.4266064	1.4466494	1.4327587
Massachusetts	other	0.73584175	0.744982	0.72676116	0.7416144	0.72999215	0.73902	0.7328344
Michigan	Delta	0.45197868	0.47575152	0.42869076	0.4681589	0.43608254	0.4603784	0.44337255
Michigan	Omicron 21L	1.4633262	1.5069773	1.4210616	1.4908878	1.4345659	1.4771589	1.4481366
Michigan	other	0.5320991	0.54093975	0.5229356	0.5378609	0.52621835	0.5352932	0.5290999
Minnesota	Delta	0.4787916	0.50641733	0.4536821	0.49627122	0.46233833	0.48798466	0.4702163
Minnesota	Omicron 21L	1.4007797	1.4460202	1.3595295	1.4296919	1.372211	1.4159716	1.3854165
Minnesota	other	0.45168126	0.46125427	0.4422833	0.45771375	0.4454738	0.45494282	0.44847262
New Jersey	Delta	0.49954307	0.5296643	0.47176135	0.5181949	0.48159397	0.5094238	0.4901719
New Jersey	Omicron 21L	1.3959049	1.4243543	1.3703332	1.4136972	1.378661	1.4053553	1.3865576
New Jersey	other	0.6695566	0.680611	0.6584703	0.6765885	0.662376	0.6733631	0.6657723
New York	Delta	0.46637744	0.48411107	0.44975692	0.4779795	0.4555253	0.47238982	0.46070552
New York	Omicron 21L	1.5220525	1.5443139	1.4986886	1.5372611	1.507172	1.529906	1.5142769
New York	other	0.8006476	0.8104747	0.79069245	0.80697596	0.79434854	0.8041033	0.7972944
North Carolina	Delta	0.47102666	0.49373928	0.4494964	0.4861579	0.45656425	0.47905508	0.4631966
North Carolina	Omicron 21L	1.4905722	1.5317345	1.4497161	1.5177605	1.4634087	1.504379	1.4764147
North Carolina	other	0.5228751	0.5295753	0.5159231	0.5272151	0.51844454	0.5252758	0.52057755
Pennsylvania	Delta	0.4438514	0.46912464	0.4208175	0.45957085	0.42854914	0.45205495	0.43607086
Pennsylvania	Omicron 21L	1.4648423	1.5016303	1.4279088	1.4892544	1.4412041	1.4776634	1.452461
Pennsylvania	other	0.72609204	0.7372283	0.71506584	0.7330857	0.7189297	0.729986	0.72242105
Texas	Delta	0.424649	0.45763445	0.3956165	0.44601926	0.40476754	0.4353312	0.41442344
Texas	Omicron 21L	1.5010557	1.5451677	1.4592446	1.5296382	1.4738047	1.5162553	1.4861133
Texas	other	0.79990554	0.81714517	0.783202	0.8106561	0.78871095	0.80578375	0.79422605
Virginia	Delta	0.48909494	0.51793295	0.46227723	0.50730616	0.47157574	0.49899358	0.47993127
Virginia	Omicron 21L	1.4327266	1.4671032	1.3995112	1.4552189	1.4107755	1.4443467	1.4212699
Virginia	other	0.6742633	0.68290806	0.6655841	0.67988706	0.668638	0.677252	0.671344
Washington	Delta	0.4627865	0.49331135	0.43494505	0.48219183	0.4443074	0.47265238	0.453402
Washington	Omicron 21L	1.4355105	1.4733555	1.3996477	1.4602766	1.4118837	1.4486045	1.423
Washington	other	1.0352135	1.0556924	1.0151346	1.0480305	1.0220398	1.0421593	1.0283166
Wisconsin	Delta	0.43984026	0.4682375	0.4142928	0.45768952	0.42271137	0.44918808	0.4312039
Wisconsin	Omicron 21L	1.4489092	1.4909718	1.4070156	1.4764751	1.421869	1.4630963	1.4346807
Wisconsin	other	0.51900125	0.5280913	0.51009905	0.5246711	0.51316833	0.5221657	0.5159543
