date	location	variant	median_ga	median_freq	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
2021-11-15	California	Delta	5.1944065	0.99184275	15.944398	1.6376096	10.6863	2.491863	7.552061	3.494389
2021-11-16	California	Delta	6.0593834	0.9917177	15.300847	2.3498418	11.080911	3.2799685	8.326028	4.4088445
2021-11-17	California	Delta	6.59858	0.99206656	14.6066675	3.0012236	10.841143	3.9920633	8.587263	5.0820866
2021-11-18	California	Delta	6.7747016	0.99311996	12.968419	3.508592	10.282062	4.398286	8.43253	5.4194937
2021-11-19	California	Delta	6.5517387	0.9944017	11.357205	3.768998	9.34017	4.5615096	7.899429	5.419486
2021-11-20	California	Delta	6.033375	0.99528587	9.782488	3.7353013	8.187901	4.393903	7.0849333	5.0839906
2021-11-21	California	Delta	5.3112793	0.9957146	8.125609	3.4937208	6.980414	4.001474	6.117379	4.563482
2021-11-22	California	Delta	4.502255	0.9958613	6.675386	3.070588	5.772923	3.484689	5.1218715	3.9241583
2021-11-23	California	Delta	3.6879146	0.9959059	5.2742367	2.5956254	4.6270633	2.9201612	4.1565905	3.2533188
2021-11-24	California	Delta	2.9426208	0.99603915	4.0845313	2.1207912	3.629536	2.3818479	3.2873702	2.625427
2021-11-25	California	Delta	2.308114	0.9962856	3.1268387	1.7109474	2.7957628	1.9032161	2.5461802	2.0791035
2021-11-26	California	Delta	1.7870975	0.9964347	2.3603194	1.359284	2.1264682	1.499962	1.9496844	1.6277287
2021-11-27	California	Delta	1.3757267	0.9964237	1.7511519	1.0765117	1.6029079	1.1722227	1.4877632	1.262599
2021-11-28	California	Delta	1.0569323	0.9968041	1.3016393	0.85015947	1.2079363	0.9198905	1.1325622	0.98165584
2021-11-29	California	Delta	0.8149918	0.99720085	0.9817194	0.67483693	0.91809195	0.72371197	0.8684695	0.76502454
2021-11-30	California	Delta	0.6377537	0.9970703	0.75366783	0.54098433	0.7091821	0.5731276	0.6747873	0.60206515
2021-12-01	California	Delta	0.5075776	0.99672633	0.5885051	0.44029433	0.5583439	0.4615986	0.5344157	0.48275292
2021-12-02	California	Delta	0.41470593	0.9963145	0.4765873	0.36243936	0.45351478	0.3794452	0.43462363	0.39600825
2021-12-03	California	Delta	0.34796125	0.9955472	0.39803278	0.3067047	0.37959197	0.31980342	0.36382216	0.33327818
2021-12-04	California	Delta	0.29993078	0.9941592	0.34230456	0.26580805	0.32587373	0.27654374	0.3131312	0.28786433
2021-12-05	California	Delta	0.26493484	0.99207944	0.3006103	0.23579925	0.28712672	0.24531512	0.2765461	0.25448108
2021-12-06	California	Delta	0.23948267	0.9890461	0.27101168	0.21416304	0.2585974	0.22242078	0.24955983	0.23057601
2021-12-07	California	Delta	0.22161904	0.98429847	0.24922265	0.19870755	0.23878814	0.20599234	0.2300987	0.21351694
2021-12-08	California	Delta	0.20909253	0.97675496	0.23325579	0.18841974	0.22479625	0.19498129	0.21660578	0.20169508
2021-12-09	California	Delta	0.201081	0.9652076	0.22249727	0.18189205	0.21538304	0.18816382	0.20783857	0.19406582
2021-12-10	California	Delta	0.19665182	0.94776654	0.21665761	0.17921984	0.20975988	0.18492103	0.20297691	0.19029716
2021-12-11	California	Delta	0.19548523	0.9221251	0.21428786	0.17918275	0.20776749	0.1843208	0.20132926	0.1895058
2021-12-12	California	Delta	0.19723204	0.88546145	0.21487388	0.18145682	0.20865208	0.18634588	0.20307873	0.191434
2021-12-13	California	Delta	0.20141175	0.835538	0.21934934	0.1856562	0.21286927	0.19089161	0.20721781	0.19574343
2021-12-14	California	Delta	0.20824727	0.7708229	0.2263459	0.19186337	0.21986957	0.19750716	0.21416184	0.20240588
2021-12-15	California	Delta	0.21746701	0.6931023	0.23650528	0.20090684	0.22982852	0.20626569	0.22358683	0.21135816
2021-12-16	California	Delta	0.22902358	0.60656786	0.24973255	0.21178582	0.24215344	0.2171615	0.2355862	0.22262825
2021-12-17	California	Delta	0.24295509	0.51769865	0.26548135	0.22420645	0.25719628	0.23026416	0.2501364	0.23618025
2021-12-18	California	Delta	0.2594511	0.4322515	0.28352842	0.23939249	0.2746027	0.24577157	0.2670117	0.25218242
2021-12-19	California	Delta	0.27823284	0.35468692	0.30394068	0.25678918	0.29439166	0.26362428	0.28615975	0.27027267
2021-12-20	California	Delta	0.29929775	0.2883814	0.32625708	0.27646834	0.31626588	0.28399694	0.30763453	0.29098848
2021-12-21	California	Delta	0.3227748	0.23356868	0.3498674	0.298614	0.34039468	0.30698743	0.33151925	0.31426704
2021-12-22	California	Delta	0.34874123	0.1894789	0.37628695	0.32348192	0.3671307	0.33246338	0.35815996	0.34009227
2021-12-23	California	Delta	0.37727255	0.15468481	0.40563658	0.3510569	0.3958242	0.36039752	0.38677955	0.36808714
2021-12-24	California	Delta	0.40815604	0.127238	0.43803456	0.3805248	0.42802343	0.3899642	0.41813973	0.3982459
2021-12-25	California	Delta	0.4414739	0.105782464	0.47333091	0.41159862	0.46208516	0.42156488	0.45165405	0.43062335
2021-12-26	California	Delta	0.47645417	0.0888717	0.51203763	0.4438925	0.49910834	0.45451435	0.4877972	0.46476611
2021-12-27	California	Delta	0.5131429	0.07566308	0.5537001	0.47723502	0.53835076	0.4884571	0.5257692	0.49969912
2021-12-28	California	Delta	0.5507717	0.065269	0.5968354	0.5097133	0.5802274	0.5225014	0.5654844	0.53570306
2021-12-29	California	Delta	0.58895385	0.057006225	0.6413165	0.5418049	0.62265414	0.5569457	0.60610676	0.57167214
2021-12-30	California	Delta	0.6271204	0.050296407	0.68654865	0.5732183	0.6650026	0.590771	0.6461598	0.60679865
2021-12-31	California	Delta	0.663218	0.044945005	0.73025095	0.6030072	0.70575976	0.6225417	0.6846427	0.6407072
2022-01-01	California	Delta	0.6975752	0.040529333	0.7718314	0.63142216	0.7437814	0.65282094	0.72113204	0.6728708
2022-01-02	California	Delta	0.7276846	0.03691791	0.8079987	0.6568612	0.77764845	0.6800259	0.75327206	0.7021551
2022-01-03	California	Delta	0.7531666	0.033855516	0.83731246	0.67751366	0.8059512	0.70379573	0.78039	0.7265239
2022-01-04	California	Delta	0.7726549	0.031241853	0.8583355	0.6963126	0.82702166	0.72271734	0.8004721	0.74587774
2022-01-05	California	Delta	0.78569555	0.028982624	0.8698119	0.7103418	0.83946514	0.7359389	0.81312895	0.7591156
2022-01-06	California	Delta	0.79264486	0.02704097	0.87184525	0.71911895	0.8441225	0.74418473	0.8186315	0.7660559
2022-01-07	California	Delta	0.7930152	0.025258068	0.8675747	0.72350025	0.84223086	0.7468988	0.818481	0.7671243
2022-01-08	California	Delta	0.7883154	0.023594102	0.85770017	0.7240164	0.83519995	0.7435563	0.8127741	0.76358294
2022-01-09	California	Delta	0.7789358	0.022037394	0.8463276	0.71636724	0.82515967	0.7361313	0.8023763	0.7546996
2022-01-10	California	Delta	0.76494277	0.020594046	0.8341259	0.7032654	0.81308854	0.7226772	0.7891207	0.7416781
2022-01-11	California	Delta	0.7488028	0.019178027	0.8211172	0.6847364	0.79710114	0.7054984	0.77323765	0.72490513
2022-01-12	California	Delta	0.7305988	0.017845228	0.80745965	0.6617914	0.780867	0.68518573	0.7563721	0.7055084
