date	location	cases
2021-10-01	Arizona	3642
2021-10-02	Arizona	2942
2021-10-03	Arizona	2255
2021-10-04	Arizona	2113
2021-10-05	Arizona	2254
2021-10-06	Arizona	2041
2021-10-07	Arizona	2529
2021-10-08	Arizona	2702
2021-10-09	Arizona	2358
2021-10-10	Arizona	2182
2021-10-11	Arizona	1760
2021-10-12	Arizona	2029
2021-10-13	Arizona	2319
2021-10-14	Arizona	2386
2021-10-15	Arizona	2399
2021-10-16	Arizona	2482
2021-10-17	Arizona	1886
2021-10-18	Arizona	1886
2021-10-19	Arizona	1888
2021-10-20	Arizona	1991
2021-10-21	Arizona	2495
2021-10-22	Arizona	3074
2021-10-23	Arizona	3144
2021-10-24	Arizona	1484
2021-10-25	Arizona	158
2021-10-26	Arizona	450
2021-10-27	Arizona	6299
2021-10-28	Arizona	2795
2021-10-29	Arizona	3691
2021-10-30	Arizona	2843
2021-10-31	Arizona	2840
2021-11-01	Arizona	2090
2021-11-02	Arizona	2350
2021-11-03	Arizona	2180
2021-11-04	Arizona	3552
2021-11-05	Arizona	3813
2021-11-06	Arizona	3592
2021-11-07	Arizona	3231
2021-11-08	Arizona	2657
2021-11-09	Arizona	3118
2021-11-10	Arizona	3794
2021-11-11	Arizona	3624
2021-11-12	Arizona	4447
2021-11-13	Arizona	3985
2021-11-14	Arizona	3086
2021-11-15	Arizona	2774
2021-11-16	Arizona	3240
2021-11-17	Arizona	3459
2021-11-18	Arizona	4184
2021-11-19	Arizona	5070
2021-11-20	Arizona	5103
2021-11-21	Arizona	3629
2021-11-22	Arizona	3249
2021-11-23	Arizona	3057
2021-11-24	Arizona	4064
2021-11-25	Arizona	3349
2021-11-26	Arizona	3322
2021-11-27	Arizona	3655
2021-11-28	Arizona	2274
2021-11-29	Arizona	1961
2021-11-30	Arizona	2971
2021-12-01	Arizona	3163
2021-12-02	Arizona	4012
2021-12-03	Arizona	5236
2021-12-04	Arizona	6043
2021-12-05	Arizona	3820
2021-12-06	Arizona	3022
2021-12-07	Arizona	3015
2021-12-08	Arizona	3506
2021-12-09	Arizona	3663
2021-12-10	Arizona	3924
2021-12-11	Arizona	3774
2021-12-12	Arizona	3231
2021-12-13	Arizona	2391
2021-12-14	Arizona	2168
2021-12-15	Arizona	3249
2021-12-16	Arizona	2911
2021-12-17	Arizona	3686
2021-12-18	Arizona	3467
2021-12-19	Arizona	2745
2021-12-20	Arizona	2176
2021-12-21	Arizona	2395
2021-12-22	Arizona	2806
2021-12-23	Arizona	3222
2021-12-24	Arizona	3808
2021-12-25	Arizona	3495
2021-12-26	Arizona	344
2021-12-27	Arizona	7641
2021-12-28	Arizona	1976
2021-12-29	Arizona	3411
2021-10-01	California	7869
2021-10-02	California	0
2021-10-03	California	0
2021-10-04	California	18998
2021-10-05	California	3752
2021-10-06	California	5386
2021-10-07	California	8440
2021-10-08	California	6710
2021-10-09	California	0
2021-10-10	California	0
2021-10-11	California	16921
2021-10-12	California	4091
2021-10-13	California	4034
2021-10-14	California	7263
2021-10-15	California	6188
2021-10-16	California	0
2021-10-17	California	0
2021-10-18	California	16764
2021-10-19	California	4081
2021-10-20	California	3070
2021-10-21	California	8407
2021-10-22	California	6093
2021-10-23	California	0
2021-10-24	California	0
2021-10-25	California	0
2021-10-26	California	24563
2021-10-27	California	4378
2021-10-28	California	8770
2021-10-29	California	7098
2021-10-30	California	0
2021-10-31	California	0
2021-11-01	California	19351
2021-11-02	California	4209
2021-11-03	California	3518
2021-11-04	California	9711
