date	location	cases
2022-03-15	California	727
2022-03-16	California	3482
2022-03-17	California	5342
2022-03-18	California	4541
2022-03-19	California	5116
2022-03-20	California	5116
2022-03-21	California	5116
2022-03-22	California	662
2022-03-23	California	5100
2022-03-24	California	4891
2022-03-25	California	3029
2022-03-26	California	2390
2022-03-27	California	2390
2022-03-28	California	2390
2022-03-29	California	741
2022-03-30	California	2761
2022-03-31	California	6396
2022-04-01	California	4026
2022-04-02	California	2481
2022-04-03	California	2481
2022-04-04	California	2481
2022-04-05	California	2481
2022-04-06	California	3280
2022-04-07	California	3280
2022-04-08	California	3280
2022-04-09	California	3162
2022-04-10	California	3162
2022-04-11	California	3162
2022-04-12	California	3162
2022-04-13	California	3162
2022-04-14	California	3162
2022-04-15	California	6566
2022-04-16	California	3690
2022-04-17	California	3690
2022-04-18	California	3690
2022-04-19	California	3690
2022-04-20	California	7430
2022-04-21	California	7430
2022-04-22	California	7430
2022-04-23	California	5347
2022-04-24	California	5347
2022-04-25	California	5347
2022-04-26	California	5347
2022-04-27	California	7344
2022-04-28	California	7344
2022-04-29	California	7344
2022-04-30	California	6500
2022-05-01	California	6500
2022-05-02	California	6500
2022-05-03	California	6500
2022-05-04	California	9059
2022-05-05	California	9059
2022-05-06	California	9059
2022-05-07	California	8302
2022-05-08	California	8302
2022-05-09	California	8302
2022-05-10	California	8302
2022-05-11	California	9118
2022-05-12	California	9118
2022-05-13	California	9118
2022-05-14	California	12636
2022-05-15	California	12636
2022-05-16	California	12636
2022-05-17	California	12636
2022-05-18	California	17468
2022-05-19	California	17468
2022-05-20	California	17468
2022-05-21	California	13902
2022-05-22	California	13902
2022-05-23	California	13902
2022-05-24	California	13902
2022-05-25	California	16564
2022-05-26	California	16564
2022-05-27	California	16564
2022-05-28	California	14872
2022-05-29	California	14872
2022-05-30	California	14872
2022-05-31	California	14872
2022-06-01	California	14995
2022-06-02	California	14995
2022-06-03	California	14995
2022-06-04	California	17406
2022-06-05	California	17406
2022-06-06	California	17406
2022-06-07	California	17406
2022-06-08	California	19551
2022-06-09	California	19551
2022-06-10	California	19551
2022-06-11	California	15827
2022-06-12	California	15827
2022-06-13	California	15827
2022-06-14	California	15827
2022-06-15	California	14000
2022-06-16	California	14000
2022-06-17	California	14000
2022-06-18	California	16256
2022-06-19	California	16256
2022-06-20	California	16256
2022-06-21	California	16256
2022-01-23	Colorado	8621
2022-01-24	Colorado	8181
2022-01-25	Colorado	8078
2022-01-26	Colorado	8627
2022-01-27	Colorado	10354
2022-01-28	Colorado	8440
2022-01-29	Colorado	6517
2022-01-30	Colorado	4776
2022-01-31	Colorado	3906
2022-02-01	Colorado	3791
2022-02-02	Colorado	4974
2022-02-03	Colorado	5268
2022-02-04	Colorado	2785
2022-02-05	Colorado	3506
2022-02-06	Colorado	2816
2022-02-07	Colorado	1803
2022-02-08	Colorado	2204
2022-02-09	Colorado	3138
2022-02-10	Colorado	2615
2022-02-11	Colorado	2209
2022-02-12	Colorado	2076
2022-02-13	Colorado	1134
2022-02-14	Colorado	699
2022-02-15	Colorado	1058
2022-02-16	Colorado	1893
2022-02-17	Colorado	1469
2022-02-18	Colorado	1264
2022-02-19	Colorado	1049
2022-02-20	Colorado	754
2022-02-21	Colorado	482
2022-02-22	Colorado	629
2022-02-23	Colorado	969
2022-02-24	Colorado	877
2022-02-25	Colorado	766
2022-02-26	Colorado	882
2022-02-27	Colorado	541
2022-02-28	Colorado	347
2022-03-01	Colorado	544
2022-03-02	Colorado	721
2022-03-03	Colorado	751
2022-03-04	Colorado	665
2022-03-05	Colorado	501
2022-03-06	Colorado	347
2022-03-07	Colorado	226
2022-03-08	Colorado	379
2022-03-09	Colorado	613
2022-03-10	Colorado	509
2022-03-11	Colorado	624
2022-03-12	Colorado	467
2022-03-13	Colorado	244
2022-03-14	Colorado	139
2022-03-15	Colorado	452
2022-03-16	Colorado	466
2022-03-17	Colorado	414
2022-03-18	Colorado	437
2022-03-19	Colorado	471
2022-03-20	Colorado	284
2022-03-21	Colorado	155
2022-03-22	Colorado	281
2022-03-23	Colorado	398
2022-03-24	Colorado	296
2022-03-25	Colorado	401
2022-03-26	Colorado	364
2022-03-27	Colorado	248
2022-03-28	Colorado	219
2022-03-29	Colorado	288
2022-03-30	Colorado	330
2022-03-31	Colorado	434
2022-04-01	Colorado	437
2022-04-02	Colorado	425
2022-04-03	Colorado	284
2022-04-04	Colorado	176
2022-04-05	Colorado	360
2022-04-06	Colorado	397
2022-04-07	Colorado	488
2022-04-08	Colorado	403
2022-04-09	Colorado	456
2022-04-10	Colorado	291
2022-04-11	Colorado	320
2022-04-12	Colorado	363
2022-04-13	Colorado	519
2022-04-14	Colorado	668
2022-04-15	Colorado	665
2022-04-16	Colorado	590
2022-04-17	Colorado	536
2022-04-18	Colorado	336
2022-04-19	Colorado	560
2022-04-20	Colorado	760
2022-04-21	Colorado	872
2022-04-22	Colorado	779
2022-04-23	Colorado	762
2022-04-24	Colorado	504
2022-04-25	Colorado	490
2022-04-26	Colorado	646
2022-04-27	Colorado	763
2022-04-28	Colorado	1118
2022-04-29	Colorado	1023
2022-04-30	Colorado	893
2022-05-01	Colorado	708
2022-05-02	Colorado	541
2022-05-03	Colorado	1083
2022-05-04	Colorado	989
2022-05-05	Colorado	1370
2022-05-06	Colorado	1128
2022-05-07	Colorado	1199
2022-05-08	Colorado	640
2022-05-09	Colorado	1162
2022-05-10	Colorado	1274
2022-05-11	Colorado	951
2022-05-12	Colorado	2368
2022-05-13	Colorado	1616
2022-05-14	Colorado	1695
2022-05-15	Colorado	1208
2022-05-16	Colorado	1142
2022-05-17	Colorado	1458
2022-05-18	Colorado	1825
2022-05-19	Colorado	1886
2022-05-20	Colorado	2319
2022-05-21	Colorado	1667
2022-05-22	Colorado	1164
2022-05-23	Colorado	1263
2022-05-24	Colorado	1776
2022-05-25	Colorado	1692
2022-05-26	Colorado	2480
2022-05-27	Colorado	2620
2022-05-28	Colorado	1909
2022-05-29	Colorado	1682
2022-05-30	Colorado	1685
2022-05-31	Colorado	1111
2022-06-01	Colorado	1376
2022-06-02	Colorado	2903
2022-06-03	Colorado	3149
2022-06-04	Colorado	2479
2022-06-05	Colorado	1929
2022-06-06	Colorado	1559
2022-06-07	Colorado	2222
2022-06-08	Colorado	2688
2022-06-09	Colorado	2828
2022-06-10	Colorado	3546
2022-06-11	Colorado	1998
2022-06-12	Colorado	1771
2022-06-13	Colorado	1513
2022-06-14	Colorado	1746
2022-06-15	Colorado	1825
2022-06-16	Colorado	2332
2022-06-17	Colorado	2266
2022-06-18	Colorado	954
2022-06-19	Colorado	954
2022-06-20	Colorado	954
2022-06-21	Colorado	1556
2022-01-23	Connecticut	6028
