date	location	variant	median_I	I_upper_95	I_lower_95	I_upper_80	I_lower_80	I_upper_50	I_lower_50
2021-10-01	Germany	Delta	5838.0	8259.0	3752.0	7237.0	4261.0	6224.0	4673.0
2021-10-02	Germany	Delta	7057.0	9983.0	4535.0	8747.0	5150.0	7522.0	5647.0
2021-10-03	Germany	Delta	7813.0	11053.0	5021.0	9684.0	5703.0	8329.0	6253.0
2021-10-04	Germany	Delta	8222.0	11594.0	5300.0	10182.0	6012.0	8943.0	6765.0
2021-10-05	Germany	Delta	8411.0	11665.0	5466.0	10391.0	6260.0	9068.0	6930.0
2021-10-06	Germany	Delta	8439.0	11680.0	5862.0	10332.0	6489.0	9440.0	7479.0
2021-10-07	Germany	Delta	8504.0	11526.0	6153.0	10097.0	6512.0	9143.0	7288.0
2021-10-08	Germany	Delta	8685.0	11401.0	6199.0	10377.0	6933.0	9470.0	7659.0
2021-10-09	Germany	Delta	8911.0	11568.0	6462.0	10609.0	7234.0	9633.0	7824.0
2021-10-10	Germany	Delta	9178.0	11855.0	6706.0	10586.0	7165.0	9814.0	7987.0
2021-10-11	Germany	Delta	9420.0	12384.0	7156.0	11147.0	7671.0	9957.0	8151.0
2021-10-12	Germany	Delta	9680.0	12665.0	7329.0	11507.0	7945.0	10348.0	8504.0
2021-10-13	Germany	Delta	9955.0	12973.0	7426.0	11691.0	8010.0	10519.0	8614.0
2021-10-14	Germany	Delta	10267.0	13382.0	7592.0	12277.0	8440.0	10905.0	8939.0
2021-10-15	Germany	Delta	10628.0	13968.0	7922.0	12440.0	8486.0	11228.0	9177.0
2021-10-16	Germany	Delta	11023.0	14596.0	8313.0	12969.0	8850.0	11833.0	9675.0
2021-10-17	Germany	Delta	11416.0	14968.0	8570.0	13538.0	9316.0	12512.0	10277.0
2021-10-18	Germany	Delta	11827.0	15484.0	8923.0	14063.0	9717.0	12573.0	10267.0
2021-10-19	Germany	Delta	12288.0	16256.0	9425.0	14421.0	9932.0	13000.0	10669.0
2021-10-20	Germany	Delta	12791.0	16886.0	9777.0	15241.0	10619.0	13591.0	11175.0
2021-10-21	Germany	Delta	13351.0	17358.0	9890.0	15852.0	11087.0	14352.0	11856.0
