location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
Germany	Omicron	2.4182503	3.3355544	1.7559428	2.9958644	1.9553322	2.7129762	2.1702147
Germany	other	0.82593644	0.90224046	0.7627643	0.874676	0.7826767	0.85114276	0.80272627
South Africa	Omicron	3.8729525	4.7265053	3.181898	4.4127192	3.4091108	4.148946	3.6267724
South Africa	other	1.0763958	1.1517624	1.0110639	1.1246846	1.033193	1.1018329	1.0532032
United Kingdom	Omicron	3.9209247	5.12745	2.997795	4.6837006	3.2776961	4.3192883	3.5765872
United Kingdom	other	0.9185326	0.9416398	0.8981675	0.9334521	0.9050257	0.9261651	0.9112774
USA	Omicron	3.1298485	4.420224	2.2161543	3.938849	2.4952111	3.5466454	2.7838428
USA	other	0.9383577	0.9700903	0.9095662	0.95875007	0.91952085	0.9491331	0.92860943
