date	location	variant	median_I	I_upper_95	I_lower_95	I_upper_80	I_lower_80	I_upper_50	I_lower_50
2021-10-01	Germany	Delta	8861.0	12363.0	5705.0	10883.0	6556.0	9588.0	7335.0
2021-10-02	Germany	Delta	8874.0	12381.0	5714.0	10899.0	6566.0	9602.0	7346.0
2021-10-03	Germany	Delta	8881.0	12646.0	5974.0	10906.0	6571.0	9606.0	7349.0
2021-10-04	Germany	Delta	8895.0	12438.0	5809.0	10900.0	6586.0	9730.0	7480.0
2021-10-05	Germany	Delta	8939.0	12356.0	5950.0	10852.0	6693.0	9778.0	7606.0
2021-10-06	Germany	Delta	9104.0	12406.0	6389.0	10988.0	7079.0	9906.0	7835.0
2021-10-07	Germany	Delta	9319.0	12597.0	6857.0	10996.0	7269.0	9970.0	7993.0
2021-10-08	Germany	Delta	9499.0	12502.0	6874.0	11420.0	7783.0	10225.0	8255.0
2021-10-09	Germany	Delta	9691.0	12670.0	7128.0	11508.0	7852.0	10409.0	8466.0
2021-10-10	Germany	Delta	9878.0	12727.0	7190.0	11600.0	7911.0	10689.0	8761.0
2021-10-11	Germany	Delta	10102.0	12947.0	7470.0	11858.0	8152.0	11044.0	9114.0
2021-10-12	Germany	Delta	10360.0	13218.0	7646.0	12237.0	8487.0	11245.0	9278.0
2021-10-13	Germany	Delta	10667.0	13588.0	7927.0	12733.0	8953.0	11673.0	9689.0
2021-10-14	Germany	Delta	11011.0	13844.0	7985.0	12881.0	9010.0	11837.0	9825.0
2021-10-15	Germany	Delta	11368.0	14539.0	8492.0	13274.0	9335.0	12240.0	10192.0
2021-10-16	Germany	Delta	11751.0	15087.0	8863.0	13675.0	9664.0	12666.0	10555.0
2021-10-17	Germany	Delta	12197.0	15507.0	8982.0	14165.0	10018.0	13057.0	10889.0
2021-10-18	Germany	Delta	12658.0	16255.0	9484.0	14725.0	10389.0	13589.0	11359.0
2021-10-19	Germany	Delta	13137.0	16940.0	9955.0	15406.0	10903.0	14168.0	11879.0
2021-10-20	Germany	Delta	13654.0	17590.0	10385.0	15838.0	11179.0	14739.0	12384.0
2021-10-21	Germany	Delta	14195.0	18279.0	10788.0	16793.0	11945.0	15397.0	12921.0
2021-10-22	Germany	Delta	14732.0	18810.0	11011.0	16967.0	11938.0	15792.0	13233.0
2021-10-23	Germany	Delta	15299.0	19357.0	11240.0	17886.0	12641.0	16385.0	13712.0
2021-10-24	Germany	Delta	15923.0	20460.0	12025.0	18637.0	13137.0	17089.0	14328.0
2021-10-25	Germany	Delta	16592.0	21133.0	12311.0	19480.0	13676.0	17780.0	14875.0
2021-10-26	Germany	Delta	17324.0	22109.0	12806.0	20310.0	14205.0	18579.0	15505.0
2021-10-27	Germany	Delta	18159.0	23379.0	13523.0	21231.0	14804.0	19477.0	16202.0
