date	location	variant	median_I	I_upper_95	I_lower_95	I_upper_80	I_lower_80	I_upper_50	I_lower_50
2021-11-12	King County	probable Omicron	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2021-11-13	King County	probable Omicron	1.0	3.0	0.0	2.0	0.0	1.0	0.0
2021-11-14	King County	probable Omicron	1.0	3.0	0.0	2.0	0.0	1.0	1.0
2021-11-15	King County	probable Omicron	1.0	3.0	0.0	2.0	0.0	1.0	1.0
2021-11-16	King County	probable Omicron	1.0	3.0	0.0	2.0	0.0	1.0	1.0
2021-11-17	King County	probable Omicron	1.0	3.0	0.0	2.0	0.0	1.0	1.0
2021-11-18	King County	probable Omicron	1.0	2.0	0.0	2.0	0.0	1.0	1.0
2021-11-19	King County	probable Omicron	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2021-11-20	King County	probable Omicron	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2021-11-21	King County	probable Omicron	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2021-11-22	King County	probable Omicron	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2021-11-23	King County	probable Omicron	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2021-11-24	King County	probable Omicron	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2021-11-25	King County	probable Omicron	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2021-11-26	King County	probable Omicron	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2021-11-27	King County	probable Omicron	1.0	2.0	0.0	2.0	0.0	1.0	0.0
2021-11-28	King County	probable Omicron	1.0	3.0	0.0	2.0	0.0	1.0	1.0
2021-11-29	King County	probable Omicron	1.0	3.0	0.0	2.0	1.0	1.0	1.0
2021-11-30	King County	probable Omicron	2.0	3.0	0.0	2.0	1.0	2.0	1.0
2021-12-01	King County	probable Omicron	2.0	4.0	1.0	3.0	1.0	2.0	1.0
2021-12-02	King County	probable Omicron	2.0	5.0	1.0	4.0	1.0	3.0	1.0
2021-12-03	King County	probable Omicron	3.0	6.0	1.0	5.0	2.0	3.0	2.0
2021-12-04	King County	probable Omicron	4.0	8.0	2.0	6.0	2.0	5.0	3.0
2021-12-05	King County	probable Omicron	6.0	11.0	3.0	9.0	3.0	7.0	4.0
2021-12-06	King County	probable Omicron	9.0	15.0	4.0	12.0	5.0	10.0	6.0
2021-12-07	King County	probable Omicron	12.0	22.0	6.0	17.0	7.0	13.0	8.0
2021-12-08	King County	probable Omicron	17.0	31.0	9.0	23.0	10.0	20.0	13.0
2021-12-09	King County	probable Omicron	24.0	42.0	10.0	34.0	14.0	27.0	17.0
2021-12-10	King County	probable Omicron	32.0	62.0	14.0	47.0	17.0	38.0	23.0
2021-12-11	King County	probable Omicron	45.0	91.0	18.0	66.0	21.0	50.0	26.0
2021-12-12	King County	probable Omicron	61.0	144.0	20.0	96.0	25.0	68.0	32.0
2021-11-12	King County	other	224.0	340.0	121.0	297.0	154.0	248.0	174.0
2021-11-13	King County	other	270.0	411.0	146.0	359.0	186.0	300.0	210.0
2021-11-14	King County	other	299.0	455.0	162.0	397.0	206.0	331.0	233.0
2021-11-15	King County	other	313.0	476.0	170.0	407.0	208.0	347.0	244.0
2021-11-16	King County	other	309.0	465.0	172.0	404.0	216.0	340.0	242.0
2021-11-17	King County	other	285.0	428.0	172.0	369.0	209.0	312.0	228.0
2021-11-18	King County	other	253.0	377.0	165.0	316.0	185.0	280.0	212.0
2021-11-19	King County	other	224.0	325.0	144.0	284.0	168.0	243.0	184.0
2021-11-20	King County	other	204.0	297.0	126.0	263.0	152.0	223.0	167.0
2021-11-21	King County	other	193.0	290.0	119.0	244.0	137.0	216.0	161.0
2021-11-22	King County	other	184.0	280.0	111.0	233.0	128.0	202.0	147.0
2021-11-23	King County	other	175.0	271.0	104.0	224.0	120.0	198.0	144.0
2021-11-24	King County	other	167.0	266.0	98.0	219.0	113.0	188.0	134.0
2021-11-25	King County	other	165.0	264.0	92.0	215.0	106.0	185.0	130.0
2021-11-26	King County	other	168.0	273.0	95.0	225.0	113.0	188.0	130.0
2021-11-27	King County	other	178.0	286.0	101.0	234.0	118.0	199.0	138.0
2021-11-28	King County	other	193.0	303.0	113.0	249.0	131.0	218.0	156.0
2021-11-29	King County	other	208.0	316.0	125.0	275.0	152.0	233.0	168.0
2021-11-30	King County	other	222.0	331.0	130.0	288.0	157.0	240.0	172.0
2021-12-01	King County	other	233.0	346.0	136.0	308.0	168.0	256.0	184.0
2021-12-02	King County	other	241.0	361.0	140.0	312.0	166.0	270.0	196.0
2021-12-03	King County	other	244.0	368.0	144.0	318.0	172.0	266.0	192.0
2021-12-04	King County	other	241.0	372.0	145.0	313.0	169.0	269.0	195.0
2021-12-05	King County	other	232.0	363.0	142.0	297.0	160.0	256.0	184.0
2021-12-06	King County	other	217.0	332.0	125.0	278.0	145.0	245.0	176.0
2021-12-07	King County	other	199.0	308.0	113.0	264.0	138.0	215.0	149.0
2021-12-08	King County	other	179.0	294.0	107.0	241.0	123.0	206.0	143.0
2021-12-09	King County	other	162.0	268.0	83.0	221.0	105.0	173.0	113.0
2021-12-10	King County	other	145.0	257.0	66.0	206.0	89.0	163.0	102.0
2021-12-11	King County	other	131.0	256.0	50.0	193.0	69.0	149.0	87.0
2021-12-12	King County	other	119.0	266.0	40.0	182.0	51.0	136.0	72.0
