date	location	variant	median_ga	median_freq	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
2021-11-12	King County	probable Omicron	6.4881277	0.00010322408	10.063831	4.2669888	8.634703	4.905282	7.518176	5.6006613
2021-11-13	King County	probable Omicron	6.562764	0.0001032241	10.0684805	4.317637	8.719646	4.986278	7.6403565	5.6539903
2021-11-14	King County	probable Omicron	6.622248	0.00010325351	10.267381	4.350352	8.8434515	4.996213	7.7049317	5.7100344
2021-11-15	King County	probable Omicron	6.7465124	0.00010432616	10.4965	4.37414	9.024397	5.09791	7.8464527	5.8142
2021-11-16	King County	probable Omicron	6.867818	0.000115614435	10.658658	4.466016	9.118299	5.1958995	7.9967837	5.928482
2021-11-17	King County	probable Omicron	6.975372	0.00017461523	10.669134	4.549447	9.188567	5.252107	8.072413	6.0036025
2021-11-18	King County	probable Omicron	7.055533	0.00031628314	10.7897625	4.6564784	9.2551775	5.3818173	8.174518	6.0800724
2021-11-19	King County	probable Omicron	7.1556034	0.0004628487	10.958031	4.754784	9.425942	5.500694	8.275255	6.1753078
2021-11-20	King County	probable Omicron	7.2225857	0.0005567081	11.073369	4.7836	9.488981	5.589421	8.387544	6.2750535
2021-11-21	King County	probable Omicron	7.2925286	0.0006087542	11.123017	4.866929	9.565921	5.61584	8.416817	6.3421173
2021-11-22	King County	probable Omicron	7.3178587	0.00063866575	11.122214	4.91946	9.586992	5.66774	8.455801	6.3908343
2021-11-23	King County	probable Omicron	7.407991	0.00065824494	11.107327	5.007314	9.630404	5.7785997	8.544425	6.469655
2021-11-24	King County	probable Omicron	7.498605	0.0006752887	11.04228	5.1628637	9.724405	5.8935766	8.636993	6.550861
2021-11-25	King County	probable Omicron	7.578437	0.00071504817	11.0638895	5.270135	9.779181	6.0000424	8.721127	6.6880627
2021-11-26	King County	probable Omicron	7.677518	0.001207693	11.032389	5.3869095	9.819341	6.107253	8.759266	6.7571993
2021-11-27	King County	probable Omicron	7.785497	0.0038706614	11.030135	5.511852	9.838668	6.1919427	8.847623	6.8598485
2021-11-28	King County	probable Omicron	7.892882	0.0052099694	10.973874	5.6340275	9.860328	6.3131037	8.946486	6.977949
2021-11-29	King County	probable Omicron	8.005441	0.0057188445	11.027088	5.7986665	9.9313965	6.47814	9.040415	7.105598
2021-11-30	King County	probable Omicron	8.141999	0.0065232012	11.142766	5.9439187	10.052846	6.595191	9.129736	7.2526574
2021-12-01	King County	probable Omicron	8.265333	0.008283113	11.234481	6.027104	10.128865	6.7089243	9.24032	7.377002
2021-12-02	King County	probable Omicron	8.35327	0.012076838	11.294221	6.134693	10.19654	6.8036065	9.325872	7.489092
2021-12-03	King County	probable Omicron	8.439756	0.018894222	11.384296	6.2483444	10.263206	6.922752	9.379406	7.5887637
2021-12-04	King County	probable Omicron	8.546843	0.028943978	11.333794	6.36399	10.348677	7.037784	9.41819	7.682832
2021-12-05	King County	probable Omicron	8.608695	0.041274585	11.412506	6.434388	10.406686	7.1048274	9.494316	7.7647405
2021-12-06	King County	probable Omicron	8.681616	0.056466244	11.468425	6.451575	10.475958	7.1548724	9.574299	7.801255
2021-12-07	King County	probable Omicron	8.707056	0.077024564	11.70814	6.453818	10.565998	7.1252956	9.657852	7.823118
2021-12-08	King County	probable Omicron	8.713027	0.10510032	11.806492	6.3635325	10.614888	7.0724645	9.690339	7.80867
2021-12-09	King County	probable Omicron	8.650518	0.14225847	11.9015875	6.2473187	10.634172	7.0007706	9.646449	7.746674
2021-12-10	King County	probable Omicron	8.570387	0.19034582	11.784782	6.0995536	10.586799	6.9263124	9.58902	7.6505675
2021-12-11	King County	probable Omicron	8.452969	0.251146	11.740286	5.952859	10.571583	6.780003	9.534022	7.544899
2021-12-12	King County	probable Omicron	8.416128	0.32574803	11.782402	5.8812594	10.601807	6.6815	9.504551	7.4735174
2021-12-13	King County	probable Omicron	8.448652	0.4133197	11.967878	5.868574	10.70359	6.6531596	9.567292	7.451979
2021-12-14	King County	probable Omicron	8.518293	0.51074994	12.29764	5.847434	10.872041	6.612489	9.708321	7.504183
2021-12-15	King County	probable Omicron	8.60733	0.61310744	12.631957	5.761841	11.106035	6.5776005	9.842504	7.4979315
2021-12-16	King County	probable Omicron	8.611082	0.7061324	12.884215	5.5996175	11.219464	6.471108	9.895243	7.4289727
2021-12-17	King County	probable Omicron	8.534212	0.78158236	13.265412	5.4129896	11.501759	6.363495	9.956685	7.3479986
