date	location	variant	median_I_smooth_forecast	I_smooth_forecast_upper_95	I_smooth_forecast_lower_95	I_smooth_forecast_upper_80	I_smooth_forecast_lower_80	I_smooth_forecast_upper_50	I_smooth_forecast_lower_50	median_freq
2022-05-13	Denmark	Omicron 21L	661.45123	822.68243	533.5344	764.4238	573.74036	714.97485	612.23883	0.91406536
2022-05-14	Denmark	Omicron 21L	646.7739	861.01715	491.90024	779.7548	538.8349	713.7149	584.6262	0.9033336
2022-05-15	Denmark	Omicron 21L	630.98926	910.1569	448.6433	799.81274	503.55075	714.02277	556.7087	0.8917004
2022-05-16	Denmark	Omicron 21L	616.92224	947.0349	410.99362	814.83545	472.74005	714.3057	533.5957	0.8782448
2022-05-17	Denmark	Omicron 21L	603.386	994.37494	378.2519	830.4282	444.16428	715.7516	509.5693	0.8633145
2022-05-18	Denmark	Omicron 21L	589.7971	1042.0369	345.28006	851.08295	416.88202	717.0605	485.76654	0.84556764
2022-05-19	Denmark	Omicron 21L	576.15326	1097.7067	314.05466	870.7768	390.34412	719.6123	463.16388	0.8271409
2022-05-13	Denmark	Omicron 22A	18.153053	80.24455	4.663822	47.06131	7.3552513	29.86353	11.1412325	0.02517381
2022-05-14	Denmark	Omicron 22A	20.757832	108.43782	4.592178	58.8869	7.6567125	35.70754	12.088829	0.028969118
2022-05-15	Denmark	Omicron 22A	23.730085	143.90785	4.5032077	73.56706	8.015532	42.310863	13.137684	0.03338354
2022-05-16	Denmark	Omicron 22A	26.932625	187.12337	4.5051017	91.895096	8.460606	50.138725	14.313145	0.038299683
2022-05-17	Denmark	Omicron 22A	30.668262	249.41193	4.507646	115.410645	8.868835	59.733532	15.668249	0.043871
2022-05-18	Denmark	Omicron 22A	35.031532	329.407	4.491853	143.30492	9.209561	71.52025	17.105572	0.049950536
2022-05-19	Denmark	Omicron 22A	40.30596	431.1391	4.4976153	180.9085	9.60008	85.529945	18.684505	0.056558274
2022-05-13	Denmark	Omicron 22B	6.09815	29.932886	1.2813867	16.736454	2.1090114	10.340374	3.5304806	0.008370973
2022-05-14	Denmark	Omicron 22B	6.6769323	36.760925	1.2980167	19.756018	2.149891	11.646502	3.791211	0.009284072
2022-05-15	Denmark	Omicron 22B	7.304894	44.13499	1.2757186	23.181898	2.2041192	13.229796	4.0287104	0.010248316
2022-05-16	Denmark	Omicron 22B	8.055566	54.929882	1.2460577	27.491652	2.264322	15.143701	4.2919703	0.011274874
2022-05-17	Denmark	Omicron 22B	8.849554	67.48976	1.2288861	32.783154	2.3058727	17.313686	4.536505	0.012448756
2022-05-18	Denmark	Omicron 22B	9.759052	82.45411	1.2180343	39.103447	2.3740916	19.763506	4.768516	0.013723105
2022-05-19	Denmark	Omicron 22B	10.773302	100.73962	1.2008342	46.617138	2.4201217	22.706144	5.049302	0.014987487
2022-05-13	Denmark	Omicron 22C	24.562191	64.88498	9.643629	46.919296	13.303533	34.6684	17.739475	0.034082487
2022-05-14	Denmark	Omicron 22C	26.670437	76.83851	9.563278	54.527885	13.604956	39.147217	18.655958	0.037390556
2022-05-15	Denmark	Omicron 22C	28.930908	95.66602	9.434103	63.090168	13.876884	44.071953	19.516655	0.04095777
2022-05-16	Denmark	Omicron 22C	31.470943	114.8384	9.366984	73.36645	14.248767	49.53537	20.520329	0.04472217
2022-05-17	Denmark	Omicron 22C	34.247875	139.36993	9.179223	85.095085	14.412078	56.017193	21.568424	0.04878737
2022-05-18	Denmark	Omicron 22C	37.148144	171.01834	8.928907	100.32318	14.606658	63.40051	22.776716	0.052523978
2022-05-19	Denmark	Omicron 22C	40.337856	205.24907	8.652092	117.694664	14.859366	71.79118	23.905235	0.05682645
2022-05-13	Denmark	other	6.9587994	12.367319	3.9878087	10.166078	4.790745	8.444162	5.7175183	0.009555649
2022-05-14	Denmark	other	6.8952665	12.909224	3.687395	10.461867	4.569052	8.540653	5.57625	0.009553775
2022-05-15	Denmark	other	6.8335505	13.467908	3.461724	10.720645	4.341873	8.599512	5.432407	0.009512203
2022-05-16	Denmark	other	6.7715607	14.005116	3.2617738	11.022666	4.1638503	8.657094	5.273176	0.009453314
2022-05-17	Denmark	other	6.707771	14.704493	3.0730703	11.308116	4.03346	8.734451	5.1416435	0.009338567
2022-05-18	Denmark	other	6.6655264	15.316645	2.8897212	11.604645	3.8741422	8.833334	4.993832	0.009164414
2022-05-19	Denmark	other	6.6112	16.089226	2.6927755	11.9698715	3.6712825	8.9535475	4.850812	0.008992738
2022-05-13	France	Delta	0.012252951	0.8474621	0.00020934956	0.19479303	0.0008317363	0.052025057	0.0030705195	3.7911047e-07
2022-05-14	France	Delta	0.010756497	0.82564837	0.00017191004	0.18278968	0.0006935136	0.046838023	0.0026154723	3.3445093e-07
2022-05-15	France	Delta	0.009280911	0.77528113	0.00013902356	0.17116563	0.0005715742	0.04203751	0.0021891464	2.9754005e-07
2022-05-16	France	Delta	0.008155123	0.73358107	0.00011277835	0.15903927	0.00047014354	0.038136877	0.0018562761	2.6286475e-07
2022-05-17	France	Delta	0.0071111433	0.7039103	9.0030146e-05	0.14637852	0.00039083947	0.034465782	0.0015725441	2.3073335e-07
2022-05-18	France	Delta	0.006291836	0.6893668	7.180893e-05	0.13560532	0.00032624288	0.03139416	0.0013266462	2.0656503e-07
2022-05-19	France	Delta	0.0054445174	0.65444565	5.8540645e-05	0.12523426	0.0002677063	0.028174773	0.0011259636	1.8187158e-07
2022-05-13	France	Omicron 21K	114.630104	924.8187	16.980669	421.95303	33.12717	227.84541	59.655495	0.0036289783
2022-05-14	France	Omicron 21K	106.28633	1000.00574	13.680136	430.98666	28.089794	221.29144	52.411522	0.003389817
2022-05-15	France	Omicron 21K	96.736565	1046.5356	10.720947	432.87112	23.543083	213.39438	46.241512	0.0031465124
2022-05-16	France	Omicron 21K	88.62119	1118.0419	8.890492	435.1871	19.743336	206.66223	40.99574	0.0029464103
2022-05-17	France	Omicron 21K	81.46495	1234.8092	7.131852	434.59073	16.305614	202.70447	36.277275	0.0027462447
2022-05-18	France	Omicron 21K	75.48384	1320.4814	5.7111053	441.9829	13.76091	196.93675	31.54931	0.0025575925
2022-05-19	France	Omicron 21K	69.662964	1411.6064	4.440473	458.6416	11.398572	189.29584	27.636768	0.0023892326
2022-05-13	France	Omicron 21L	31220.117	40776.082	24340.652	36997.49	26467.893	34306.09	28536.479	0.9912723
2022-05-14	France	Omicron 21L	30863.812	43354.945	22573.963	38385.305	25061.969	34728.98	27467.266	0.99138385
2022-05-15	France	Omicron 21L	30454.361	46293.66	20943.994	39709.723	23594.322	35133.496	26456.41	0.99154377
2022-05-16	France	Omicron 21L	29986.098	49123.453	19317.348	40952.184	22201.527	35390.055	25507.523	0.9916816
2022-05-17	France	Omicron 21L	29552.92	52211.87	17964.53	42454.76	20922.158	35690.008	24490.184	0.9917799
2022-05-18	France	Omicron 21L	29095.406	55641.426	16502.336	44114.156	19596.574	36150.71	23561.78	0.9919008
2022-05-19	France	Omicron 21L	28716.895	59504.75	15097.378	45960.17	18437.607	36659.703	22696.387	0.9919498
2022-05-13	France	Omicron 22A	0.20467621	71.8714	0.0012924045	10.102286	0.0070975916	1.5501653	0.034518898	6.347803e-06
2022-05-14	France	Omicron 22A	0.16775215	72.17767	0.0009037548	9.396986	0.0051102126	1.3392575	0.026110828	5.29531e-06
2022-05-15	France	Omicron 22A	0.14155193	73.75219	0.0006154167	9.072273	0.0037265287	1.1737309	0.020631254	4.419472e-06
2022-05-16	France	Omicron 22A	0.115310974	73.958885	0.00042357616	8.337133	0.0026906303	1.0466496	0.01618962	3.7187533e-06
2022-05-17	France	Omicron 22A	0.09564683	76.0005	0.0002966437	8.001906	0.0019860563	0.9294873	0.012452427	3.1326504e-06
2022-05-18	France	Omicron 22A	0.07885854	73.20065	0.00019997288	7.5866804	0.0014521548	0.80958927	0.009605989	2.6253342e-06
2022-05-19	France	Omicron 22A	0.065319225	77.68707	0.00013756704	7.2713294	0.0010466248	0.70217144	0.0074567264	2.1997207e-06
2022-05-13	France	Omicron 22B	42.429214	824.43463	2.1571467	279.22714	6.2626257	115.04349	15.503489	0.0013238847
2022-05-14	France	Omicron 22B	42.672302	913.6286	1.9094629	294.69266	5.811272	118.07295	14.9423485	0.0013286909
2022-05-15	France	Omicron 22B	42.445816	1012.8154	1.6770087	316.42078	5.478931	120.384674	14.406108	0.0013441946
2022-05-16	France	Omicron 22B	42.284805	1114.888	1.5043936	338.59882	5.0533385	123.036095	13.799749	0.0013633512
2022-05-17	France	Omicron 22B	42.617706	1251.306	1.3273634	353.33438	4.665023	127.62958	13.161301	0.0013683806
2022-05-18	France	Omicron 22B	42.141983	1385.915	1.1956271	378.93008	4.30648	132.62842	12.5440235	0.0013578441
2022-05-19	France	Omicron 22B	41.87359	1557.8403	1.0618073	409.05838	3.917421	137.51865	12.062941	0.0013647368
2022-05-13	France	Omicron 22C	0.036725402	27.76275	0.000111189045	2.6762989	0.0007958829	0.36265945	0.0044247005	1.1691532e-06
2022-05-14	France	Omicron 22C	0.02994664	27.654013	7.3855466e-05	2.4613729	0.0005738565	0.31059167	0.0033886868	9.576365e-07
2022-05-15	France	Omicron 22C	0.024900017	27.977741	4.8709877e-05	2.3176234	0.00039173136	0.2756251	0.0025521754	7.8107905e-07
2022-05-16	France	Omicron 22C	0.020027734	28.440428	3.2237378e-05	2.182879	0.00027493323	0.23912284	0.0018973674	6.331542e-07
2022-05-17	France	Omicron 22C	0.016029093	31.311773	2.1250833e-05	2.0296469	0.00018959191	0.20546518	0.0014225893	5.1678387e-07
2022-05-18	France	Omicron 22C	0.01282675	31.182964	1.4130174e-05	1.8800174	0.00013160631	0.18350266	0.0010611627	4.19851e-07
2022-05-19	France	Omicron 22C	0.01029573	30.552692	9.359606e-06	1.75537	9.2413284e-05	0.16395488	0.00080091675	3.3918002e-07
2022-05-13	France	other	52.026054	152.527	17.628027	107.48812	26.390345	75.69879	36.396126	0.0016301591
2022-05-14	France	other	49.97741	152.17766	16.1673	106.50816	24.564875	73.69959	34.41772	0.001588122
2022-05-15	France	other	48.166016	152.22829	14.853629	106.34876	22.960674	72.398186	32.602226	0.001548212
