date	location	variant	median_R_forecast	R_forecast_upper_95	R_forecast_lower_95	R_forecast_upper_80	R_forecast_lower_80	R_forecast_upper_50	R_forecast_lower_50	median_freq
2022-07-26	Australia	Omicron 22C	0.93818575	1.3286445	0.6673129	1.1765126	0.75354165	1.0574098	0.8318291	0.017334111
2022-07-27	Australia	Omicron 22C	0.93818575	1.3286445	0.6673129	1.1765126	0.75354165	1.0574098	0.8318291	0.016649932
2022-07-21	Australia	other	0.7795347	1.0852032	0.5636307	0.96369	0.6320874	0.8733635	0.69689333	0.00023416599
2022-07-22	Australia	other	0.7795347	1.0852032	0.5636307	0.96369	0.6320874	0.8733635	0.69689333	0.00021900631
2022-07-23	Australia	other	0.7795347	1.0852032	0.5636307	0.96369	0.6320874	0.8733635	0.69689333	0.00020455747
2022-07-24	Australia	other	0.7795347	1.0852032	0.5636307	0.96369	0.6320874	0.8733635	0.69689333	0.00019089607
2022-07-25	Australia	other	0.7795347	1.0852032	0.5636307	0.96369	0.6320874	0.8733635	0.69689333	0.00017726576
2022-07-26	Australia	other	0.7795347	1.0852032	0.5636307	0.96369	0.6320874	0.8733635	0.69689333	0.00016577035
2022-07-27	Australia	other	0.7795347	1.0852032	0.5636307	0.96369	0.6320874	0.8733635	0.69689333	0.00015440499
2022-07-21	Austria	Delta	0.83962095	1.7743036	0.39489362	1.3900276	0.5109498	1.0862427	0.6463413	5.2089526e-05
2022-07-22	Austria	Delta	0.83962095	1.7743036	0.39489362	1.3900276	0.5109498	1.0862427	0.6463413	4.8346803e-05
2022-07-23	Austria	Delta	0.83962095	1.7743036	0.39489362	1.3900276	0.5109498	1.0862427	0.6463413	4.5323213e-05
2022-07-24	Austria	Delta	0.83962095	1.7743036	0.39489362	1.3900276	0.5109498	1.0862427	0.6463413	4.239582e-05
2022-07-25	Austria	Delta	0.83962095	1.7743036	0.39489362	1.3900276	0.5109498	1.0862427	0.6463413	4.011971e-05
2022-07-26	Austria	Delta	0.83962095	1.7743036	0.39489362	1.3900276	0.5109498	1.0862427	0.6463413	3.713678e-05
2022-07-27	Austria	Delta	0.83962095	1.7743036	0.39489362	1.3900276	0.5109498	1.0862427	0.6463413	3.4837525e-05
2022-07-21	Austria	Omicron 21K	1.0420572	1.8336335	0.59131366	1.5167677	0.7077479	1.2707489	0.846861	0.0014147162
2022-07-22	Austria	Omicron 21K	1.0420572	1.8336335	0.59131366	1.5167677	0.7077479	1.2707489	0.846861	0.0013814948
2022-07-23	Austria	Omicron 21K	1.0420572	1.8336335	0.59131366	1.5167677	0.7077479	1.2707489	0.846861	0.0013399201
2022-07-24	Austria	Omicron 21K	1.0420572	1.8336335	0.59131366	1.5167677	0.7077479	1.2707489	0.846861	0.001304588
2022-07-25	Austria	Omicron 21K	1.0420572	1.8336335	0.59131366	1.5167677	0.7077479	1.2707489	0.846861	0.0012747431
2022-07-26	Austria	Omicron 21K	1.0420572	1.8336335	0.59131366	1.5167677	0.7077479	1.2707489	0.846861	0.0012428964
2022-07-27	Austria	Omicron 21K	1.0420572	1.8336335	0.59131366	1.5167677	0.7077479	1.2707489	0.846861	0.0012103054
2022-07-21	Austria	Omicron 21L	0.94063926	1.5399723	0.5836283	1.2999402	0.6886418	1.111628	0.80417824	0.060442917
2022-07-22	Austria	Omicron 21L	0.94063926	1.5399723	0.5836283	1.2999402	0.6886418	1.111628	0.80417824	0.05762466
2022-07-23	Austria	Omicron 21L	0.94063926	1.5399723	0.5836283	1.2999402	0.6886418	1.111628	0.80417824	0.05471395
2022-07-24	Austria	Omicron 21L	0.94063926	1.5399723	0.5836283	1.2999402	0.6886418	1.111628	0.80417824	0.051813863
2022-07-25	Austria	Omicron 21L	0.94063926	1.5399723	0.5836283	1.2999402	0.6886418	1.111628	0.80417824	0.04919593
2022-07-26	Austria	Omicron 21L	0.94063926	1.5399723	0.5836283	1.2999402	0.6886418	1.111628	0.80417824	0.046696037
2022-07-27	Austria	Omicron 21L	0.94063926	1.5399723	0.5836283	1.2999402	0.6886418	1.111628	0.80417824	0.044317186
2022-07-21	Austria	Omicron 22A	1.1214502	1.8473531	0.67810065	1.5691713	0.80451673	1.344275	0.94164526	0.058354594
2022-07-22	Austria	Omicron 22A	1.1214502	1.8473531	0.67810065	1.5691713	0.80451673	1.344275	0.94164526	0.057933375
2022-07-23	Austria	Omicron 22A	1.1214502	1.8473531	0.67810065	1.5691713	0.80451673	1.344275	0.94164526	0.05771709
2022-07-24	Austria	Omicron 22A	1.1214502	1.8473531	0.67810065	1.5691713	0.80451673	1.344275	0.94164526	0.057450324
2022-07-25	Austria	Omicron 22A	1.1214502	1.8473531	0.67810065	1.5691713	0.80451673	1.344275	0.94164526	0.05747386
2022-07-26	Austria	Omicron 22A	1.1214502	1.8473531	0.67810065	1.5691713	0.80451673	1.344275	0.94164526	0.057087976
2022-07-27	Austria	Omicron 22A	1.1214502	1.8473531	0.67810065	1.5691713	0.80451673	1.344275	0.94164526	0.056697786
2022-07-21	Austria	Omicron 22B	1.146244	1.6826473	0.7979679	1.4707521	0.8988316	1.3082367	1.0084126	0.7949157
2022-07-22	Austria	Omicron 22B	1.146244	1.6826473	0.7979679	1.4707521	0.8988316	1.3082367	1.0084126	0.79707545
2022-07-23	Austria	Omicron 22B	1.146244	1.6826473	0.7979679	1.4707521	0.8988316	1.3082367	1.0084126	0.79937917
2022-07-24	Austria	Omicron 22B	1.146244	1.6826473	0.7979679	1.4707521	0.8988316	1.3082367	1.0084126	0.80020434
2022-07-25	Austria	Omicron 22B	1.146244	1.6826473	0.7979679	1.4707521	0.8988316	1.3082367	1.0084126	0.80235803
2022-07-26	Austria	Omicron 22B	1.146244	1.6826473	0.7979679	1.4707521	0.8988316	1.3082367	1.0084126	0.80302143
2022-07-27	Austria	Omicron 22B	1.146244	1.6826473	0.7979679	1.4707521	0.8988316	1.3082367	1.0084126	0.8035333
