location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
Alabama	Alpha	1.0733031	1.0863972	1.060674	1.0820906	1.0649788	1.0781796	1.0690365
Alabama	Beta	0.6783756	0.8784675	0.51367664	0.80771357	0.5632864	0.7400204	0.6133678
Alabama	Delta	1.3546568	1.3613925	1.3478194	1.35933	1.3503878	1.3571231	1.3523034
Alabama	Epsilon	0.9641032	1.0197493	0.91593766	0.9988105	0.9336107	0.9829242	0.9476044
Alabama	Gamma	1.1375172	1.1701233	1.1034138	1.1596547	1.1134923	1.1487854	1.1256502
Alabama	Iota	1.0486982	1.0916449	1.0142062	1.0777873	1.0242084	1.0643741	1.0371906
Alabama	Mu	1.1468837	1.2087027	1.0954387	1.1863246	1.1112537	1.1685219	1.1296182
Alabama	Omicron	3.955071	4.4556575	3.519124	4.262185	3.6729703	4.1165032	3.7967632
Arizona	Alpha	1.0651762	1.0767069	1.0539491	1.0723606	1.0578009	1.0690727	1.0612514
Arizona	Beta	0.9460906	1.0131859	0.8762013	0.990531	0.8999011	0.9691256	0.92155373
Arizona	Delta	1.2629151	1.2718114	1.2534235	1.2690467	1.2566067	1.2660805	1.2596263
Arizona	Epsilon	0.9394491	0.955769	0.9230607	0.9496768	0.9288931	0.9451217	0.9336095
Arizona	Gamma	1.0874925	1.1026264	1.0712589	1.0977151	1.0771283	1.0928417	1.0818105
Arizona	Iota	1.027088	1.0529479	1.0044099	1.0440128	1.0120997	1.0359795	1.0199767
Arizona	Mu	1.1237758	1.1577723	1.0941017	1.1462681	1.103668	1.1357648	1.1145573
Arizona	Omicron	2.8159926	3.233254	2.4629493	3.0818558	2.574779	2.9510756	2.6905758
Arkansas	Alpha	1.1289651	1.1482118	1.1113503	1.1430695	1.1171831	1.136714	1.1228254
Arkansas	Beta	0.31615755	0.68665344	0.15273261	0.5406614	0.19495516	0.41895837	0.2449289
Arkansas	Delta	1.3962181	1.4045136	1.3883144	1.4021053	1.390691	1.3990675	1.3932315
Arkansas	Epsilon	0.9860886	1.031023	0.9429857	1.0159853	0.95559293	1.0027003	0.9690724
Arkansas	Gamma	1.122844	1.1684554	1.0774429	1.1530991	1.092344	1.1389768	1.1065129
Arkansas	Iota	1.049474	1.1126603	0.9886817	1.0890926	1.0070456	1.0702022	1.0270419
Arkansas	Mu	1.1484957	1.259571	1.0594851	1.2169702	1.0811807	1.1867559	1.1124048
Arkansas	Omicron	3.5222669	4.0849667	3.049297	3.8784742	3.2110045	3.707589	3.3538074
California	Alpha	1.0524805	1.0602006	1.0449213	1.0576086	1.0473373	1.0551091	1.0498803
California	Beta	1.0007429	1.0344273	0.9701202	1.0232602	0.98072225	1.0121504	0.9897084
California	Delta	1.2963052	1.3013787	1.2908393	1.2994822	1.292788	1.2980467	1.2943901
California	Epsilon	0.89007294	0.9008817	0.87956154	0.89749503	0.8832563	0.89364696	0.8867925
California	Gamma	1.0837	1.0971041	1.0705642	1.0921326	1.0747738	1.0879712	1.0789101
California	Iota	1.0446221	1.0597851	1.0292854	1.0544716	1.0341481	1.0497028	1.0398362
California	Mu	1.164223	1.1817197	1.144471	1.1759104	1.1511629	1.1707262	1.1571689
California	Omicron	3.700077	4.020126	3.4108725	3.9120243	3.4920962	3.7960482	3.5921202
Colorado	Alpha	1.0577307	1.0691893	1.0460278	1.0648216	1.0496411	1.0618103	1.0534153
Colorado	Beta	1.0061414	1.0648285	0.9485798	1.0443424	0.96834683	1.0257481	0.9852309
Colorado	Delta	1.2980163	1.3068358	1.2903655	1.3035816	1.2929051	1.3009021	1.2952883
Colorado	Epsilon	0.94223094	0.9602239	0.92360485	0.9541324	0.9303037	0.9485721	0.9356019
Colorado	Gamma	1.082706	1.1067641	1.0590433	1.0983605	1.067267	1.09075	1.0740911
Colorado	Iota	1.0050647	1.0301931	0.9811279	1.0207256	0.9887968	1.013241	0.99644125
Colorado	Mu	1.1359371	1.1714172	1.0967511	1.158931	1.1136473	1.14816	1.1241025
Colorado	Omicron	3.2636912	3.6351285	2.9130154	3.5156534	3.0226865	3.3968296	3.132449
Connecticut	Alpha	1.1009371	1.1159528	1.0855438	1.1111034	1.0899401	1.1067022	1.0958822
Connecticut	Beta	1.0187465	1.0909557	0.9403033	1.0609312	0.9690912	1.04145	0.99440396
Connecticut	Delta	1.4012185	1.4126312	1.3893275	1.4078128	1.3933167	1.4047338	1.3972658
Connecticut	Epsilon	0.9287767	0.965359	0.89374405	0.95219326	0.9049246	0.9398059	0.91661793
Connecticut	Gamma	1.1303182	1.1618065	1.1001518	1.1508546	1.1101828	1.1411533	1.1200032
Connecticut	Iota	1.0661778	1.083402	1.0482078	1.078039	1.0531163	1.0721111	1.0594933
Connecticut	Mu	1.1463985	1.1905032	1.1010793	1.1745366	1.1178889	1.1607318	1.1323817
Connecticut	Omicron	3.4257693	3.8859732	2.9920306	3.7206042	3.1413238	3.5790133	3.2598934
Florida	Alpha	1.0980115	1.1043773	1.0918032	1.1020272	1.0937574	1.1002588	1.0955099
Florida	Beta	1.0605488	1.0958825	1.0218266	1.0834581	1.0359449	1.0726762	1.047608
Florida	Delta	1.459651	1.4656316	1.453715	1.4633981	1.4560252	1.4617922	1.4578687
Florida	Epsilon	0.97037005	0.9865227	0.954729	0.9808256	0.9599146	0.9757823	0.96483666
Florida	Gamma	1.175395	1.1855887	1.1639721	1.1820979	1.1680187	1.1787438	1.1713014
Florida	Iota	1.0922439	1.1048343	1.0815159	1.1001996	1.0849541	1.0963175	1.0884606
Florida	Mu	1.2394406	1.2561145	1.2221755	1.2499771	1.2284921	1.2447387	1.2337263
Florida	Omicron	3.980238	4.1568694	3.8083293	4.093648	3.865675	4.0400996	3.9180179
Georgia	Alpha	1.0801579	1.0906785	1.0696949	1.0867045	1.0729537	1.0839247	1.0760057
Georgia	Beta	1.0067648	1.0380971	0.9740809	1.0282439	0.98426527	1.018638	0.9951999
Georgia	Delta	1.3386921	1.3474206	1.3311495	1.3440663	1.3336395	1.3415961	1.3360807
Georgia	Epsilon	0.95754313	0.9835055	0.9324258	0.974435	0.9409579	0.9664528	0.9483164
Georgia	Gamma	1.1292975	1.1513057	1.1074458	1.1443578	1.1148404	1.1369431	1.1211392
Georgia	Iota	1.0559137	1.0778122	1.0362818	1.0685636	1.0429568	1.0626409	1.049191
Georgia	Mu	1.1429819	1.1734939	1.1112688	1.1636152	1.1230328	1.154321	1.132524
Georgia	Omicron	3.2122688	3.5746422	2.8863702	3.4468849	2.991115	3.3363783	3.0898232
Illinois	Alpha	1.0280876	1.0389277	1.0161036	1.0352768	1.0204006	1.0317981	1.0240773
Illinois	Beta	1.0002433	1.0318631	0.96905804	1.0221208	0.9780229	1.0127699	0.98889005
Illinois	Delta	1.241642	1.2489346	1.2355171	1.2462722	1.2373753	1.2440214	1.2393785
Illinois	Epsilon	0.951341	0.9708488	0.9303181	0.9641841	0.93794614	0.95788556	0.9440364
Illinois	Gamma	1.0251763	1.0406228	1.0101284	1.0355748	1.0148143	1.0305946	1.0196776
Illinois	Iota	0.99492186	1.0233079	0.9694064	1.0109717	0.97863215	1.0033268	0.9862616
Illinois	Mu	1.1298141	1.1593665	1.0979925	1.149122	1.1110046	1.1403863	1.1198162
Illinois	Omicron	2.4570863	2.7531583	2.2046647	2.6490417	2.2826467	2.5571294	2.364619
Indiana	Alpha	1.4034884	1.4234867	1.3819796	1.4159969	1.3896152	1.4108585	1.3958366
Indiana	Beta	1.1888977	1.3210381	1.0769327	1.2740554	1.1136643	1.2326801	1.1506898
Indiana	Delta	1.7899327	1.8023059	1.7771952	1.7984087	1.7815405	1.7944405	1.785304
Indiana	Epsilon	1.043582	1.082035	1.005714	1.068917	1.018531	1.0564178	1.0304577
Indiana	Gamma	1.4454468	1.490108	1.4053501	1.4735093	1.4177077	1.4606096	1.4306103
Indiana	Iota	1.2833327	1.3393772	1.2259377	1.319123	1.2451487	1.303597	1.2620662
Indiana	Mu	1.4666069	1.5594172	1.3823031	1.5266417	1.4056245	1.5004252	1.4340701
Indiana	Omicron	4.9895096	5.5566425	4.449872	5.389671	4.639585	5.1917562	4.8066044
