location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
Alabama	Alpha	1.104989	1.1167372	1.0934888	1.1127014	1.0972697	1.1090014	1.1008122
Alabama	Beta	0.9515854	1.0621103	0.85447264	1.0203079	0.8864278	0.9882589	0.9183308
Alabama	Delta	1.532655	1.5566717	1.5091361	1.5486543	1.5177001	1.5411575	1.5245268
Alabama	Epsilon	1.0092372	1.0467473	0.9717489	1.0346192	0.98503387	1.0230429	0.9962503
Alabama	Gamma	1.1759127	1.205512	1.1482289	1.1949184	1.1575687	1.1859634	1.1661496
Alabama	Iota	1.0926752	1.1238475	1.0621529	1.1129395	1.0731512	1.103124	1.0826658
Alabama	Mu	1.1998725	1.2506557	1.1523052	1.2320827	1.1692374	1.2166274	1.1836131
Alabama	Omicron	2.3331616	2.3753583	2.2890081	2.360586	2.3050942	2.3471437	2.31798
Arizona	Alpha	1.1492271	1.1572483	1.1414504	1.1543863	1.14383	1.1519165	1.1463441
Arizona	Beta	1.1091918	1.1514622	1.0679151	1.136406	1.0822307	1.1234988	1.0951877
Arizona	Delta	1.5446787	1.5584842	1.5311309	1.5537394	1.5361247	1.5494008	1.5400262
Arizona	Epsilon	0.9846417	0.99290097	0.9763229	0.9901087	0.9791999	0.98757815	0.98178875
Arizona	Gamma	1.2161423	1.2282894	1.2040341	1.2241042	1.2085713	1.2203573	1.2120578
Arizona	Iota	1.117518	1.1341867	1.1013238	1.1282614	1.1071861	1.1232982	1.1122696
Arizona	Mu	1.2856789	1.3182633	1.2545532	1.3067837	1.2656873	1.2967225	1.2753489
Arizona	Omicron	2.601018	2.6255536	2.5754154	2.617057	2.5850298	2.6092768	2.5923982
Arkansas	Alpha	1.1556253	1.1705344	1.141477	1.1653224	1.1461143	1.1606767	1.1505271
Arkansas	Beta	0.97652507	1.1068501	0.86146235	1.0581943	0.9002014	1.0196527	0.9372582
Arkansas	Delta	1.5192466	1.5378207	1.5008224	1.5316539	1.5073625	1.5254651	1.5128328
Arkansas	Epsilon	0.98867553	1.02252	0.95553464	1.0111501	0.96696717	1.0010215	0.9772069
Arkansas	Gamma	1.1553838	1.1854705	1.1266272	1.1749823	1.136719	1.1657761	1.1453124
Arkansas	Iota	1.1261368	1.1630772	1.0907328	1.1501395	1.1031125	1.1385033	1.1148039
Arkansas	Mu	1.2175385	1.2989261	1.1423482	1.269124	1.1696571	1.2439772	1.1922565
Arkansas	Omicron	2.3383362	2.3664987	2.3099327	2.3564365	2.320447	2.3475487	2.3288968
California	Alpha	1.0953734	1.0987433	1.0921422	1.0975772	1.0932009	1.0965337	1.0942373
California	Beta	1.0692921	1.088272	1.0503677	1.0815214	1.057003	1.0757318	1.0628929
California	Delta	1.5060169	1.5099701	1.501998	1.508636	1.5034468	1.5073634	1.5046111
California	Epsilon	0.9417268	0.9449132	0.9385582	0.9438744	0.9396674	0.94287926	0.9406673
California	Gamma	1.1476443	1.1527776	1.1426187	1.1510152	1.1444181	1.1494229	1.1459284
California	Iota	1.082464	1.089578	1.075342	1.0871493	1.0779022	1.0849161	1.0801092
California	Mu	1.2701237	1.2810423	1.2590322	1.2771676	1.2631545	1.2739792	1.2663662
California	Omicron	2.9645846	2.9708953	2.9583542	2.9687383	2.960586	2.9667356	2.9625273
Colorado	Alpha	1.1142337	1.122283	1.1064208	1.1193813	1.1090015	1.1169693	1.1114134
Colorado	Beta	1.08916	1.1403487	1.0399925	1.1220814	1.057253	1.1063398	1.0725663
Colorado	Delta	1.517221	1.5270349	1.5073003	1.523659	1.5108635	1.5205467	1.5138457
Colorado	Epsilon	0.94300205	0.95407456	0.9322791	0.95041126	0.93585485	0.94687164	0.9392101
Colorado	Gamma	1.168731	1.1867133	1.1513071	1.180184	1.1573993	1.1748239	1.1626313
Colorado	Iota	1.0699869	1.0850991	1.0551776	1.0798341	1.060502	1.0750923	1.0651534
Colorado	Mu	1.279789	1.3072945	1.2527764	1.2975954	1.2626383	1.2889382	1.2708598
Colorado	Omicron	2.7722445	2.7880092	2.75638	2.7824996	2.7622745	2.7775614	2.7670555
Connecticut	Alpha	1.1091449	1.1203045	1.0983766	1.116309	1.1018208	1.1129866	1.1051943
Connecticut	Beta	1.0538926	1.106378	1.0034703	1.0874922	1.0209507	1.0714653	1.0368068
Connecticut	Delta	1.4202063	1.4356678	1.4044083	1.4304789	1.4102002	1.4256238	1.4149041
Connecticut	Epsilon	0.9318925	0.9572289	0.90709007	0.94862676	0.91582227	0.9410249	0.9234229
Connecticut	Gamma	1.1496519	1.1716611	1.1288111	1.1637104	1.135723	1.1568813	1.142053
Connecticut	Iota	1.0767503	1.0885158	1.0652586	1.0845288	1.0690743	1.0809112	1.0728474
Connecticut	Mu	1.2110919	1.2378234	1.184766	1.2283487	1.1938578	1.2198704	1.2019572
Connecticut	Omicron	2.3723102	2.3939729	2.3502066	2.3865058	2.3585658	2.3796573	2.365116
Florida	Alpha	1.1351608	1.1390753	1.1313154	1.1377006	1.1325415	1.1364987	1.1337436
Florida	Beta	1.1145692	1.142932	1.0869297	1.1329763	1.0964499	1.1241947	1.1052537
Florida	Delta	1.741396	1.7493503	1.7336159	1.746611	1.7365123	1.7441528	1.7386633
Florida	Epsilon	0.9722089	0.9801599	0.9642464	0.9775543	0.9669742	0.9750639	0.9694166
Florida	Gamma	1.2284198	1.2341794	1.2225221	1.2321863	1.2246001	1.2303832	1.2263055
Florida	Iota	1.1196105	1.1253904	1.1137992	1.1234869	1.1157211	1.1216207	1.117631
Florida	Mu	1.3545821	1.3649154	1.3445408	1.361114	1.3480006	1.35795	1.3510792
Florida	Omicron	3.29889	3.3159354	3.2808049	3.3101013	3.2875736	3.3045845	3.2927542
Georgia	Alpha	1.1705582	1.1791799	1.1623094	1.1761309	1.1649294	1.1734701	1.1675719
Georgia	Beta	1.1150761	1.1422433	1.0886533	1.1326399	1.0977147	1.1244595	1.106092
Georgia	Delta	1.6818254	1.695722	1.668011	1.6908883	1.6730919	1.686491	1.67713
Georgia	Epsilon	1.0061028	1.0260458	0.98650247	1.0193624	0.99314404	1.0132418	0.9992088
Georgia	Gamma	1.2628336	1.2805	1.2455237	1.2744294	1.2515243	1.2687743	1.2566674
Georgia	Iota	1.1389682	1.1548245	1.1232368	1.1494372	1.1285454	1.1444657	1.1337419
Georgia	Mu	1.3273274	1.35321	1.3024212	1.3438944	1.3111703	1.3356993	1.318699
Georgia	Omicron	2.9956832	3.0175574	2.9736347	3.0098705	2.9818802	3.002876	2.9884768
Illinois	Alpha	1.0652773	1.0718598	1.0587804	1.0695751	1.0609779	1.0675246	1.0629442
