date	location	cases
2022-11-11	Australia	24524
2022-11-12	Australia	24524
2022-11-13	Australia	24524
2022-11-14	Australia	11915
2022-11-15	Australia	11915
2022-11-16	Australia	11915
2022-11-17	Australia	11915
2022-11-18	Australia	11915
2022-11-19	Australia	11915
2022-11-20	Australia	11915
2022-11-21	Australia	13985
2022-11-22	Australia	13985
2022-11-23	Australia	13985
2022-11-24	Australia	13985
2022-11-25	Australia	13985
2022-11-26	Australia	13985
2022-11-27	Australia	13985
2022-11-28	Australia	15415
2022-11-29	Australia	15415
2022-11-30	Australia	15415
2022-12-01	Australia	15415
2022-12-02	Australia	15415
2022-12-03	Australia	15415
2022-12-04	Australia	15415
2022-12-05	Australia	16002
2022-12-06	Australia	16002
2022-12-07	Australia	16002
2022-12-08	Australia	16002
2022-12-09	Australia	16002
2022-12-10	Australia	16002
2022-12-11	Australia	16002
2022-12-12	Australia	15475
2022-12-13	Australia	15475
2022-12-14	Australia	15475
2022-12-15	Australia	15475
2022-12-16	Australia	15475
2022-12-17	Australia	15475
2022-12-18	Australia	15475
2022-12-19	Australia	13074
2022-12-20	Australia	13074
2022-12-21	Australia	13074
2022-12-22	Australia	13074
2022-12-23	Australia	13074
2022-12-24	Australia	13074
2022-12-25	Australia	13074
2022-12-26	Australia	9180
2022-12-27	Australia	9180
2022-12-28	Australia	9180
2022-12-29	Australia	9180
2022-12-30	Australia	9180
2022-12-31	Australia	9180
2023-01-01	Australia	9180
2023-01-02	Australia	6565
2023-01-03	Australia	6565
2023-01-04	Australia	6565
2023-01-05	Australia	6565
2023-01-06	Australia	6565
2023-01-07	Australia	6565
2023-01-08	Australia	6565
2023-01-09	Australia	4412
2023-01-10	Australia	4412
2023-01-11	Australia	4412
2023-01-12	Australia	4412
2023-01-13	Australia	4412
2023-01-14	Australia	4412
2023-01-15	Australia	4412
2023-01-16	Australia	3139
2023-01-17	Australia	3139
2023-01-18	Australia	3139
2023-01-19	Australia	3139
2023-01-20	Australia	3139
2023-01-21	Australia	3139
2023-01-22	Australia	3139
2023-01-23	Australia	2699
2023-01-24	Australia	2699
2023-01-25	Australia	2699
2023-01-26	Australia	2699
2023-01-27	Australia	2699
2023-01-28	Australia	2699
2023-01-29	Australia	2699
2023-01-30	Australia	2130
2023-01-31	Australia	2130
2023-02-01	Australia	2130
2023-02-02	Australia	2130
2023-02-03	Australia	2130
2023-02-04	Australia	2130
2023-02-05	Australia	2130
2023-02-06	Australia	2130
2023-02-07	Australia	2983
2023-02-08	Australia	2983
2023-02-09	Australia	2983
2023-02-10	Australia	2983
2023-02-11	Australia	2983
2023-02-12	Australia	2983
