date	location	cases
2022-01-02	Gauteng	789
2022-01-03	Gauteng	937
2022-01-04	Gauteng	1552
2022-01-05	Gauteng	2168
2022-01-06	Gauteng	2126
2022-01-07	Gauteng	1815
2022-01-08	Gauteng	1537
2022-01-09	Gauteng	966
2022-01-10	Gauteng	834
2022-01-11	Gauteng	1297
2022-01-12	Gauteng	1454
2022-01-13	Gauteng	1208
2022-01-14	Gauteng	1075
2022-01-15	Gauteng	977
2022-01-16	Gauteng	611
2022-01-17	Gauteng	429
2022-01-18	Gauteng	784
2022-01-19	Gauteng	1017
2022-01-20	Gauteng	928
2022-01-21	Gauteng	871
2022-01-22	Gauteng	774
2022-01-23	Gauteng	494
2022-01-24	Gauteng	420
2022-01-25	Gauteng	901
2022-01-26	Gauteng	1377
2022-01-27	Gauteng	1170
2022-01-28	Gauteng	1218
2022-01-29	Gauteng	1058
2022-01-30	Gauteng	757
2022-01-31	Gauteng	531
2022-02-01	Gauteng	1002
2022-02-02	Gauteng	1472
2022-02-03	Gauteng	1005
2022-02-04	Gauteng	879
2022-02-05	Gauteng	1084
2022-02-06	Gauteng	604
2022-02-07	Gauteng	483
2022-02-08	Gauteng	998
2022-02-09	Gauteng	1249
2022-02-10	Gauteng	1003
2022-02-11	Gauteng	1095
2022-02-12	Gauteng	943
2022-02-13	Gauteng	572
2022-02-14	Gauteng	482
2022-02-15	Gauteng	985
2022-02-16	Gauteng	1328
2022-02-17	Gauteng	1129
2022-02-18	Gauteng	1111
2022-02-19	Gauteng	847
2022-02-20	Gauteng	562
2022-02-21	Gauteng	459
2022-02-22	Gauteng	894
2022-02-23	Gauteng	1114
2022-02-24	Gauteng	874
2022-02-25	Gauteng	778
2022-02-26	Gauteng	857
2022-02-27	Gauteng	529
2022-02-28	Gauteng	315
2022-03-01	Gauteng	569
2022-03-02	Gauteng	747
2022-03-03	Gauteng	650
2022-03-04	Gauteng	707
2022-03-05	Gauteng	601
2022-03-06	Gauteng	418
2022-03-07	Gauteng	261
2022-03-08	Gauteng	502
2022-03-09	Gauteng	687
2022-03-10	Gauteng	635
2022-03-11	Gauteng	519
2022-03-12	Gauteng	533
2022-03-13	Gauteng	358
2022-03-14	Gauteng	298
2022-03-15	Gauteng	642
2022-03-16	Gauteng	764
2022-03-17	Gauteng	571
2022-03-18	Gauteng	557
2022-03-19	Gauteng	470
2022-03-20	Gauteng	349
2022-03-21	Gauteng	233
2022-03-22	Gauteng	300
2022-03-23	Gauteng	480
2022-03-24	Gauteng	707
2022-03-25	Gauteng	547
2022-03-26	Gauteng	590
2022-03-27	Gauteng	362
2022-03-28	Gauteng	276
2022-03-29	Gauteng	594
2022-03-30	Gauteng	681
2022-03-31	Gauteng	722
2022-04-01	Gauteng	727
2022-04-02	Gauteng	548
2022-04-03	Gauteng	369
2022-04-04	Gauteng	315
2022-04-05	Gauteng	598
2022-04-06	Gauteng	808
2022-04-07	Gauteng	590
2022-04-08	Gauteng	653
2022-04-09	Gauteng	525
2022-04-10	Gauteng	370
2022-04-11	Gauteng	279
2022-04-12	Gauteng	592
2022-04-13	Gauteng	786
2022-04-14	Gauteng	860
2022-04-15	Gauteng	925
2022-04-16	Gauteng	684
2022-04-17	Gauteng	460
2022-04-18	Gauteng	442
2022-04-19	Gauteng	752
2022-04-20	Gauteng	1314
2022-04-21	Gauteng	2148
2022-04-22	Gauteng	2374
2022-04-23	Gauteng	2036
2022-04-24	Gauteng	1727
2022-04-25	Gauteng	1081
2022-04-26	Gauteng	2307
2022-01-02	Western Cape Province	1183
2022-01-03	Western Cape Province	740
2022-01-04	Western Cape Province	1768
2022-01-05	Western Cape Province	2840
2022-01-06	Western Cape Province	2647
2022-01-07	Western Cape Province	2439
2022-01-08	Western Cape Province	1995
2022-01-09	Western Cape Province	1150
2022-01-10	Western Cape Province	561
2022-01-11	Western Cape Province	1158
2022-01-12	Western Cape Province	1921
2022-01-13	Western Cape Province	1495
2022-01-14	Western Cape Province	1395
2022-01-15	Western Cape Province	1187
2022-01-16	Western Cape Province	721
2022-01-17	Western Cape Province	320
2022-01-18	Western Cape Province	745
2022-01-19	Western Cape Province	982
2022-01-20	Western Cape Province	813
2022-01-21	Western Cape Province	731
2022-01-22	Western Cape Province	580
2022-01-23	Western Cape Province	389
2022-01-24	Western Cape Province	235
2022-01-25	Western Cape Province	468
2022-01-26	Western Cape Province	645
2022-01-27	Western Cape Province	622
2022-01-28	Western Cape Province	521
2022-01-29	Western Cape Province	515
2022-01-30	Western Cape Province	352
2022-01-31	Western Cape Province	194
2022-02-01	Western Cape Province	427
2022-02-02	Western Cape Province	689
2022-02-03	Western Cape Province	547
2022-02-04	Western Cape Province	472
2022-02-05	Western Cape Province	506
2022-02-06	Western Cape Province	265
2022-02-07	Western Cape Province	157
2022-02-08	Western Cape Province	425
2022-02-09	Western Cape Province	528
2022-02-10	Western Cape Province	590
2022-02-11	Western Cape Province	473
2022-02-12	Western Cape Province	418
2022-02-13	Western Cape Province	366
2022-02-14	Western Cape Province	171
2022-02-15	Western Cape Province	374
2022-02-16	Western Cape Province	638
2022-02-17	Western Cape Province	541
2022-02-18	Western Cape Province	518
2022-02-19	Western Cape Province	443
2022-02-20	Western Cape Province	286
2022-02-21	Western Cape Province	191
2022-02-22	Western Cape Province	362
2022-02-23	Western Cape Province	658
2022-02-24	Western Cape Province	484
2022-02-25	Western Cape Province	510
2022-02-26	Western Cape Province	458
2022-02-27	Western Cape Province	225
2022-02-28	Western Cape Province	158
2022-03-01	Western Cape Province	310
2022-03-02	Western Cape Province	425
2022-03-03	Western Cape Province	420
2022-03-04	Western Cape Province	421
2022-03-05	Western Cape Province	410
2022-03-06	Western Cape Province	236
2022-03-07	Western Cape Province	157
