date	location	cases
2021-11-13	Canada	1352
2021-11-14	Canada	1378
2021-11-15	Canada	4370
2021-11-16	Canada	1816
2021-11-17	Canada	2526
2021-11-18	Canada	2798
2021-11-19	Canada	2813
2021-11-20	Canada	1709
2021-11-21	Canada	1475
2021-11-22	Canada	4461
2021-11-23	Canada	2223
2021-11-24	Canada	2676
2021-11-25	Canada	4223
2021-11-26	Canada	3037
2021-11-27	Canada	1982
2021-11-28	Canada	1725
2021-11-29	Canada	4229
2021-11-30	Canada	2352
2021-12-01	Canada	3227
2021-12-02	Canada	3218
2021-12-03	Canada	3513
2021-12-04	Canada	2479
2021-12-05	Canada	2382
2021-12-06	Canada	5007
2021-12-07	Canada	3002
2021-12-08	Canada	3644
2021-12-09	Canada	4002
2021-12-10	Canada	3292
2021-12-11	Canada	5330
2021-12-12	Canada	2013
2021-12-13	Canada	8005
2021-12-14	Canada	4533
2021-12-15	Canada	6042
2021-12-16	Canada	7530
2021-12-17	Canada	9325
2021-12-18	Canada	6263
2021-12-19	Canada	7449
2021-12-20	Canada	17101
2021-12-21	Canada	12203
2021-12-22	Canada	15396
2021-12-23	Canada	22430
2021-12-24	Canada	24090
2021-12-25	Canada	9888
2021-12-26	Canada	8478
2021-12-27	Canada	19143
2021-12-28	Canada	17766
2021-12-29	Canada	80011
2021-12-30	Canada	35004
2021-12-31	Canada	47411
2022-01-01	Canada	18793
2022-01-02	Canada	19611
2022-01-03	Canada	32899
2022-01-04	Canada	84190
2021-10-15	Chile	1631
2021-10-16	Chile	1689
2021-10-17	Chile	1514
2021-10-18	Chile	1315
2021-10-19	Chile	933
2021-10-20	Chile	1228
2021-10-21	Chile	1793
2021-10-22	Chile	2004
2021-10-23	Chile	1994
2021-10-24	Chile	1811
2021-10-25	Chile	1623
2021-10-26	Chile	1157
2021-10-27	Chile	1710
2021-10-28	Chile	2136
2021-10-29	Chile	2281
2021-10-30	Chile	2142
2021-10-31	Chile	2171
2021-11-01	Chile	1738
2021-11-02	Chile	1341
2021-11-03	Chile	1300
2021-11-04	Chile	1889
2021-11-05	Chile	2510
2021-11-06	Chile	2796
2021-11-07	Chile	2567
2021-11-08	Chile	2253
2021-11-09	Chile	1746
2021-11-10	Chile	2164
2021-11-11	Chile	2733
2021-11-12	Chile	2940
2021-11-13	Chile	2703
2021-11-14	Chile	2744
2021-11-15	Chile	2295
2021-11-16	Chile	1689
2021-11-17	Chile	2120
2021-11-18	Chile	2611
2021-11-19	Chile	2698
2021-11-20	Chile	2611
2021-11-21	Chile	2641
2021-11-22	Chile	2168
2021-11-23	Chile	1760
2021-11-24	Chile	2034
2021-11-25	Chile	2670
2021-11-26	Chile	2674
2021-11-27	Chile	2634
2021-11-28	Chile	2328
2021-11-29	Chile	1960
2021-11-30	Chile	1386
2021-12-01	Chile	1523
2021-12-02	Chile	2219
2021-12-03	Chile	2091
2021-12-04	Chile	2036
2021-12-05	Chile	1927
2021-12-06	Chile	1501
2021-12-07	Chile	1164
2021-12-08	Chile	1387
2021-12-09	Chile	1771
2021-12-10	Chile	0
2021-12-11	Chile	2857
2021-12-12	Chile	1577
2021-12-13	Chile	1361
2021-12-14	Chile	959
2021-12-15	Chile	1060
2021-12-16	Chile	1492
2021-12-17	Chile	1433
2021-12-18	Chile	1415
2021-12-19	Chile	1252
2021-12-20	Chile	1126
2021-12-21	Chile	884
2021-12-22	Chile	964
2021-12-23	Chile	1482
2021-12-24	Chile	1399
2021-12-25	Chile	1494
2021-12-26	Chile	1155
2021-12-27	Chile	753
2021-12-28	Chile	762
2021-12-29	Chile	1096
2021-12-30	Chile	1791
2021-12-31	Chile	1812
2022-01-01	Chile	1904
2022-01-02	Chile	1904
2022-01-03	Chile	995
2022-01-04	Chile	1051
2021-10-15	Denmark	700
2021-10-16	Denmark	753
2021-10-17	Denmark	591
2021-10-18	Denmark	752
2021-10-19	Denmark	756
2021-10-20	Denmark	1127
2021-10-21	Denmark	1247
2021-10-22	Denmark	1270
2021-10-23	Denmark	1262
2021-10-24	Denmark	1349
2021-10-25	Denmark	1411
2021-10-26	Denmark	1253
2021-10-27	Denmark	1871
2021-10-28	Denmark	1847
2021-10-29	Denmark	1784
2021-10-30	Denmark	1671
2021-10-31	Denmark	1532
2021-11-01	Denmark	1457
2021-11-02	Denmark	1981
2021-11-03	Denmark	1978
2021-11-04	Denmark	2598
2021-11-05	Denmark	2251
2021-11-06	Denmark	2097
2021-11-07	Denmark	2416
2021-11-08	Denmark	2294
2021-11-09	Denmark	2562
2021-11-10	Denmark	3017
2021-11-11	Denmark	2132
2021-11-12	Denmark	4585
2021-11-13	Denmark	2948
2021-11-14	Denmark	3223
2021-11-15	Denmark	3670
2021-11-16	Denmark	3899
2021-11-17	Denmark	3907
2021-11-18	Denmark	4013
2021-11-19	Denmark	4070
2021-11-20	Denmark	3795
2021-11-21	Denmark	3415
2021-11-22	Denmark	3711
2021-11-23	Denmark	4199
2021-11-24	Denmark	4426
2021-11-25	Denmark	4390
2021-11-26	Denmark	4076
2021-11-27	Denmark	3744
2021-11-28	Denmark	4290
2021-11-29	Denmark	4326
2021-11-30	Denmark	4148
2021-12-01	Denmark	5120
2021-12-02	Denmark	4680
2021-12-03	Denmark	4559
2021-12-04	Denmark	4325
2021-12-05	Denmark	3026
2021-12-06	Denmark	7146
2021-12-07	Denmark	6324
2021-12-08	Denmark	6629
2021-12-09	Denmark	6985
2021-12-10	Denmark	6599
2021-12-11	Denmark	5606
2021-12-12	Denmark	5989
2021-12-13	Denmark	7799
2021-12-14	Denmark	8314
2021-12-15	Denmark	8773
2021-12-16	Denmark	9999
2021-12-17	Denmark	11194
2021-12-18	Denmark	8594
2021-12-19	Denmark	8212
2021-12-20	Denmark	10082
2021-12-21	Denmark	20578
2021-12-22	Denmark	13386
2021-12-23	Denmark	12487
2021-12-24	Denmark	11229
2021-12-25	Denmark	0
2021-12-26	Denmark	0
2021-12-27	Denmark	41035
2021-12-28	Denmark	13000
2021-12-29	Denmark	23228
2021-12-30	Denmark	21403
2021-12-31	Denmark	18695
