date	location	variant	sequences
2022-11-04	USA	other	13
2022-11-05	USA	other	7
2022-11-06	USA	other	17
2022-11-07	USA	other	12
2022-11-08	USA	other	16
2022-11-09	USA	other	2
2022-11-10	USA	other	12
2022-11-11	USA	other	11
2022-11-12	USA	other	5
2022-11-13	USA	other	4
2022-11-14	USA	other	14
2022-11-15	USA	other	13
2022-11-16	USA	other	11
2022-11-17	USA	other	7
2022-11-18	USA	other	6
2022-11-19	USA	other	6
2022-11-20	USA	other	9
2022-11-21	USA	other	13
2022-11-22	USA	other	9
2022-11-23	USA	other	9
2022-11-24	USA	other	4
2022-11-25	USA	other	7
2022-11-26	USA	other	7
2022-11-27	USA	other	7
2022-11-28	USA	other	21
2022-11-29	USA	other	12
2022-11-30	USA	other	7
2022-12-01	USA	other	8
2022-12-02	USA	other	9
2022-12-03	USA	other	6
2022-12-04	USA	other	8
2022-12-05	USA	other	10
2022-12-06	USA	other	9
2022-12-07	USA	other	7
2022-12-08	USA	other	7
2022-12-09	USA	other	1
2022-12-10	USA	other	9
2022-12-11	USA	other	6
2022-12-12	USA	other	8
2022-12-13	USA	other	1
2022-12-14	USA	other	5
2022-12-15	USA	other	3
2022-12-16	USA	other	7
2022-12-17	USA	other	4
2022-12-18	USA	other	8
2022-12-19	USA	other	5
2022-12-20	USA	other	6
2022-12-21	USA	other	4
2022-12-22	USA	other	5
2022-12-23	USA	other	10
2022-12-24	USA	other	3
2022-12-25	USA	other	2
2022-12-26	USA	other	4
2022-12-27	USA	other	4
2022-12-28	USA	other	3
2022-12-29	USA	other	6
2022-12-30	USA	other	1
2022-12-31	USA	other	4
2023-01-02	USA	other	10
2023-01-03	USA	other	5
2023-01-04	USA	other	6
2023-01-05	USA	other	2
2023-01-06	USA	other	3
2023-01-07	USA	other	5
2023-01-08	USA	other	4
2023-01-09	USA	other	5
2023-01-10	USA	other	6
2023-01-11	USA	other	2
2023-01-12	USA	other	6
2023-01-13	USA	other	4
2023-01-14	USA	other	1
2023-01-15	USA	other	2
2023-01-16	USA	other	1
2023-01-17	USA	other	2
2023-01-18	USA	other	8
2023-01-19	USA	other	2
2023-01-20	USA	other	1
2023-01-22	USA	other	2
2023-01-23	USA	other	5
2023-01-24	USA	other	3
2023-01-25	USA	other	4
2023-01-26	USA	other	2
2023-01-27	USA	other	5
2023-01-28	USA	other	4
2023-01-29	USA	other	3
2023-01-30	USA	other	2
