seqName	clade	Nextclade_pango	partiallyAliased
AY.33.1	recombinant	XBA	XBA
AY.33.2	recombinant	XBA	XBA
AY.34	recombinant	XBA	XBA
AY.34.1	recombinant	XBA	XBA
AY.34.1.1	recombinant	XBA	XBA
AY.34.2	recombinant	XBA	XBA
AY.35	recombinant	XBA	XBA
AY.36	recombinant	XBA	XBA
AY.36.1	recombinant	XBA	XBA
AY.37	recombinant	XBC	XBC
AY.38	recombinant	XBC	XBC
AY.39	recombinant	XBA	XBA
AY.39.1	recombinant	XBA	XBA
AY.39.1.1	recombinant	XBA	XBA
AY.39.1.2	recombinant	XBA	XBA
AY.39.1.3	recombinant	XBA	XBA
AY.39.1.4	recombinant	XBA	XBA
AY.39.2	recombinant	XBA	XBA
AY.39.3	recombinant	XBA	XBA
AY.40	recombinant	XBC	XBC
AY.41	recombinant	XBA	XBA
AY.42	recombinant	XBA	XBA
AY.42.1	recombinant	XBA	XBA
AY.43	recombinant	XBA	XBA
AY.43.1	recombinant	XBA	XBA
AY.43.2	recombinant	XBA	XBA
AY.43.3	recombinant	XBA	XBA
AY.43.4	recombinant	XBA	XBA
AY.43.5	recombinant	XBA	XBA
AY.43.6	recombinant	XBA	XBA
AY.43.7	recombinant	XBA	XBA
AY.43.8	recombinant	XBA	XBA
AY.43.9	recombinant	XBA	XBA
AY.44	recombinant	XBA	XBA
AY.45	recombinant	XBA	XBA
AY.46	recombinant	XBA	XBA
AY.46.1	recombinant	XBA	XBA
AY.46.2	recombinant	XBA	XBA
AY.46.3	recombinant	XBA	XBA
AY.46.4	recombinant	XBA	XBA
AY.46.5	recombinant	XBA	XBA
AY.46.6	recombinant	XBA	XBA
AY.46.6.1	recombinant	XBA	XBA
AY.47	recombinant	XBC	XBC
AY.48	recombinant	XBA	XBA
AY.49	recombinant	XBC	XBC
AY.50	recombinant	XBC	XBC
AY.51	recombinant	XBC	XBC
AY.52	recombinant	XBC	XBC
AY.53	recombinant	XBC	XBC
AY.54	recombinant	XBC	XBC
AY.55	recombinant	XBC	XBC
AY.56	recombinant	XBC	XBC
AY.57	recombinant	XBC	XBC
AY.58	recombinant	XBC	XBC
