date	location	variant	median_I_smooth	I_smooth_upper_95	I_smooth_lower_95	I_smooth_upper_80	I_smooth_lower_80	I_smooth_upper_50	I_smooth_lower_50	median_freq
2022-02-17	India	Delta	168.54688	400.42563	72.699524	298.61746	97.66421	228.14732	126.389046	0.007072153
2022-02-18	India	Delta	176.88533	419.5067	76.323105	312.71652	102.4979	239.18663	132.69092	0.006993445
2022-02-19	India	Delta	139.92357	319.8691	63.345	241.02185	83.191864	186.64378	105.87122	0.0062384093
2022-02-20	India	Delta	89.28387	187.0082	43.52684	144.93938	55.55832	114.710976	68.88689	0.004888837
2022-02-21	India	Delta	68.32095	135.89906	34.354485	106.86577	43.19345	85.71368	53.135757	0.004137435
2022-02-22	India	Delta	63.739594	123.44803	33.104202	98.296135	41.188126	79.64524	50.007103	0.0041238302
2022-02-23	India	Delta	60.46763	115.943695	31.882545	92.733734	39.69824	75.46457	48.178875	0.0043708603
2022-02-24	India	Delta	52.724037	99.83662	28.077688	79.61777	34.7877	65.4937	41.975353	0.004327693
2022-02-25	India	Delta	42.191315	77.875885	22.88324	62.42476	27.807373	52.124718	33.36817	0.003857525
2022-02-26	India	Delta	33.361427	61.682346	18.169188	49.34093	22.148058	41.279053	26.70731	0.0034070248
2022-02-27	India	Delta	28.59045	52.557415	15.541136	42.774216	19.105745	35.458775	23.06734	0.003243166
2022-02-28	India	Delta	26.251562	48.464645	14.332408	39.333313	17.649845	32.7169	21.336456	0.0032894663
2022-03-01	India	Delta	24.121964	44.05366	13.215619	36.069565	16.136057	30.01019	19.528702	0.0033049071
2022-03-02	India	Delta	21.300713	39.186504	11.698246	31.962559	14.319338	26.609493	17.335556	0.0031953673
2022-03-03	India	Delta	18.626415	34.44838	10.187275	28.120325	12.4913225	23.196846	15.1172695	0.0030384955
2022-03-04	India	Delta	16.710243	31.058897	9.026101	25.258703	11.086172	20.75273	13.462533	0.0029527107
2022-03-05	India	Delta	15.567011	29.118258	8.244766	23.622496	10.267655	19.270899	12.533526	0.002949754
2022-03-06	India	Delta	14.717529	27.469418	7.683914	22.414572	9.678801	18.199015	11.8496475	0.002985268
2022-03-07	India	Delta	13.76655	26.028543	7.1277637	21.067686	9.041853	17.087444	11.083971	0.0029906947
2022-03-08	India	Delta	12.781719	24.165989	6.629102	19.602896	8.3279085	15.878466	10.252636	0.002969709
2022-03-09	India	Delta	11.892548	22.80312	6.0734043	18.37363	7.7413187	14.904843	9.517819	0.0029498953
2022-03-10	India	Delta	11.239046	21.902615	5.6866035	17.38629	7.2361836	14.078955	8.952213	0.0029611983
2022-03-11	India	Delta	10.662691	21.0814	5.3796844	16.634705	6.825341	13.412684	8.453967	0.0029890598
2022-03-12	India	Delta	10.162699	20.059767	5.059529	15.885179	6.462351	12.771795	8.045681	0.0030287262
2022-03-13	India	Delta	9.59887	19.08634	4.762578	15.036957	6.0647717	12.085507	7.5699234	0.0030479569
2022-03-14	India	Delta	9.034023	18.14019	4.446426	14.2654505	5.6814466	11.40764	7.1200104	0.0030689097
2022-03-15	India	Delta	8.524963	17.275246	4.121242	13.58615	5.3555107	10.796972	6.7016354	0.0030748765
2022-03-16	India	Delta	8.063616	16.39166	3.862419	12.884526	5.0609465	10.24877	6.333274	0.003100569
2022-03-17	India	Delta	7.5908194	15.6733675	3.6117158	12.268729	4.7934246	9.679402	5.951658	0.0031165844
2022-03-18	India	Delta	7.142295	14.89706	3.395207	11.637429	4.4692254	9.164118	5.591175	0.0031282196
2022-03-19	India	Delta	6.6877213	14.0890465	3.185666	10.937359	4.17411	8.619408	5.2341075	0.0031355482
2022-03-20	India	Delta	6.267215	13.246947	2.9969037	10.333548	3.8956692	8.091991	4.882669	0.0031353135
2022-03-21	India	Delta	5.884909	12.456628	2.761078	9.688705	3.614326	7.603321	4.5410447	0.0031437783
2022-03-22	India	Delta	5.5323696	11.758607	2.575299	9.117095	3.3812802	7.160412	4.241929	0.0031618418
2022-03-23	India	Delta	5.1878366	11.063894	2.391191	8.593332	3.1615446	6.7462306	3.9698744	0.0031591489
