location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
Arizona	Delta	0.37490574	0.3976763	0.35259622	0.38905525	0.3602003	0.38270023	0.3670388
Arizona	Omicron 21L	1.4745567	1.5030617	1.4469738	1.4929502	1.4564924	1.4845259	1.4646791
Arizona	Omicron 22A	2.1454437	2.2491732	2.051515	2.2129512	2.0816388	2.1787057	2.1127312
Arizona	Omicron 22B	2.7667744	2.9159188	2.6224644	2.8659294	2.6741807	2.8187814	2.7171984
Arizona	Omicron 22C	1.8407996	1.8825452	1.7999887	1.8679514	1.8149517	1.8552573	1.827301
Arizona	other	1.0757325	1.1107898	1.0408406	1.0985969	1.0526661	1.0882004	1.0638665
Arkansas	Delta	0.5792252	0.6392455	0.52532476	0.61817795	0.5440555	0.59852344	0.5604579
Arkansas	Omicron 21L	1.2336693	1.2672637	1.2017312	1.2544172	1.2130636	1.244807	1.2225223
Arkansas	Omicron 22A	1.4530671	1.5895193	1.3349351	1.5446007	1.3711475	1.500459	1.4077947
Arkansas	Omicron 22B	1.6252593	1.7399769	1.5104759	1.6984994	1.5516222	1.6633584	1.5850964
Arkansas	Omicron 22C	0.11917966	0.6749156	0.019483974	0.36843032	0.036749735	0.21889949	0.06542179
Arkansas	other	0.19137208	0.19996694	0.18330209	0.19684839	0.18599504	0.19428807	0.18853955
California	Delta	0.34890395	0.37046155	0.3279884	0.36271396	0.33500263	0.3560073	0.341496
California	Omicron 21L	1.4634676	1.4799861	1.4469627	1.4743187	1.4527849	1.4692906	1.4577186
California	Omicron 22A	2.204833	2.2626646	2.1490412	2.2424505	2.167099	2.2232358	2.1850886
California	Omicron 22B	2.6139426	2.678799	2.549054	2.6564364	2.5704572	2.63594	2.591418
California	Omicron 22C	1.820511	1.8469895	1.7948966	1.837731	1.8038843	1.8293989	1.8115793
California	other	1.4392394	1.4671205	1.4107202	1.4573126	1.4201754	1.4490252	1.4294424
Colorado	Delta	0.36070728	0.39055514	0.33339038	0.38020837	0.34291288	0.37098074	0.35109252
