date	location	variant	median_r_forecast	r_forecast_upper_95	r_forecast_lower_95	r_forecast_upper_80	r_forecast_lower_80	r_forecast_upper_50	r_forecast_lower_50	median_freq
2022-10-04	USA	BA.2.18	-0.114280224	-0.092234544	-0.13618061	-0.10029793	-0.12845293	-0.10677737	-0.12183696	9.934278e-07
2022-10-05	USA	BA.2.18	-0.11412072	-0.09377416	-0.1353046	-0.10107498	-0.12731281	-0.10720724	-0.12128115	8.96012e-07
2022-10-06	USA	BA.2.18	-0.11416435	-0.09355957	-0.13541263	-0.101022676	-0.12745228	-0.10713369	-0.12136215	8.08438e-07
2022-10-07	USA	BA.2.18	-0.11425698	-0.0927944	-0.1357277	-0.100697495	-0.1280146	-0.10693878	-0.12156963	7.2731973e-07
2022-10-08	USA	BA.2.18	-0.11425245	-0.0928242	-0.13571593	-0.10070479	-0.1280467	-0.10692459	-0.121558964	6.544758e-07
2022-10-02	USA	BA.2.23	nan	nan	nan	nan	nan	nan	nan	2.7991721e-08
2022-10-03	USA	BA.2.23	-0.13640523	-0.11181049	-0.16086575	-0.11987567	-0.15230918	-0.12738848	-0.14486337	2.4740311e-08
2022-10-04	USA	BA.2.23	-0.13634634	-0.112062395	-0.16048436	-0.120118335	-0.15209155	-0.12750411	-0.14476907	2.1860703e-08
2022-10-05	USA	BA.2.23	-0.1362083	-0.1131401	-0.15949368	-0.12075381	-0.1511592	-0.12772906	-0.14423966	1.9296905e-08
2022-10-06	USA	BA.2.23	-0.1362164	-0.11304245	-0.15955368	-0.120679334	-0.15119676	-0.12773192	-0.14427829	1.7027626e-08
2022-10-07	USA	BA.2.23	-0.13634944	-0.11263577	-0.15996101	-0.12043825	-0.15166235	-0.12760317	-0.14453912	1.4997955e-08
2022-10-08	USA	BA.2.23	-0.1363604	-0.11264427	-0.15996486	-0.12043009	-0.15169601	-0.12761092	-0.14454627	1.31934925e-08
2022-10-02	USA	BA.2.3	nan	nan	nan	nan	nan	nan	nan	0.00013849564
2022-10-03	USA	BA.2.3	-0.03992319	-0.012455612	-0.067293495	-0.02233081	-0.057985496	-0.030631661	-0.04935509	0.00013491826
2022-10-04	USA	BA.2.3	-0.039892137	-0.01275057	-0.06700456	-0.022600416	-0.057756912	-0.030783176	-0.04912652	0.00013132063
2022-10-05	USA	BA.2.3	-0.039865732	-0.013675398	-0.06582518	-0.02330097	-0.056883715	-0.031180948	-0.048536062	0.00012754556
2022-10-06	USA	BA.2.3	-0.039901257	-0.013333966	-0.06597631	-0.023268929	-0.05708611	-0.031119764	-0.04872042	0.00012388869
