date	location	variant	median_I_smooth_forecast	I_smooth_forecast_upper_95	I_smooth_forecast_lower_95	I_smooth_forecast_upper_80	I_smooth_forecast_lower_80	I_smooth_forecast_upper_50	I_smooth_forecast_lower_50	median_freq
2022-12-26	USA	BE.1.1.1	73.188095	111.76716	49.18945	96.00618	56.869045	84.290535	64.19107	0.00082824146
2022-12-20	USA	BE.1.2.1	139.73985	196.22313	98.42567	175.7122	111.343544	157.73105	123.71821	0.0019684539
2022-12-21	USA	BE.1.2.1	139.45764	198.383	96.628174	176.62811	109.78709	157.99527	122.73689	0.0019000773
2022-12-22	USA	BE.1.2.1	139.05682	200.14659	95.02556	177.99905	108.30744	158.28687	121.96104	0.0018296777
2022-12-23	USA	BE.1.2.1	138.49048	202.24564	93.653946	179.2593	106.927216	158.51047	120.72797	0.0017566006
2022-12-24	USA	BE.1.2.1	137.90645	205.36436	92.57178	180.07173	105.3735	159.02191	119.405106	0.0016849979
2022-12-25	USA	BE.1.2.1	137.363	208.09065	90.70967	181.40427	103.94996	159.65443	118.36862	0.0016128991
2022-12-26	USA	BE.1.2.1	136.84781	210.29883	88.52728	182.55164	102.672264	160.1348	117.42803	0.0015406939
2022-12-20	USA	BE.1.4	43.428505	62.323063	30.444609	55.10013	34.62025	49.188866	38.46245	0.0006119327
2022-12-21	USA	BE.1.4	42.093674	61.08019	29.313076	54.072186	33.417156	48.234184	37.26681	0.0005770762
2022-12-22	USA	BE.1.4	40.98352	60.19515	28.217802	53.108955	32.20258	47.221657	36.16103	0.0005429983
2022-12-23	USA	BE.1.4	39.971634	59.488842	27.047768	52.23303	31.086338	46.174774	35.062065	0.00051022833
2022-12-24	USA	BE.1.4	38.995605	58.667408	25.920399	51.42334	29.960814	45.169796	34.01008	0.00047824666
2022-12-25	USA	BE.1.4	37.99865	57.862488	24.922998	50.669308	28.903429	44.287827	32.918873	0.00044740312
